CardID,MembershipLevel,CustomerID
MBC00074,Diamond,CUS00274
MBC00075,Platinum,CUS00631
MBC00076,Diamond,CUS00753
MBC00077,Gold,CUS00261
MBC00078,Gold,CUS00570
MBC00079,Diamond,CUS00126
MBC00080,Gold,CUS00625
MBC00081,Platinum,CUS00091
MBC00082,Platinum,CUS00343
MBC00083,Gold,CUS00735
MBC00084,Silver,CUS00340
MBC00085,Silver,CUS00724
MBC00086,Gold,CUS00647
MBC00087,Diamond,CUS00017
MBC00088,Diamond,CUS00045
MBC00089,Platinum,CUS00566
MBC00090,Silver,CUS00178
MBC00091,Gold,CUS00269
MBC00092,Silver,CUS00429
MBC00093,Platinum,CUS00308
MBC00094,Diamond,CUS00270
MBC00095,Diamond,CUS00409
MBC00096,Platinum,CUS00043
MBC00097,Silver,CUS00264
MBC00098,Silver,CUS00650
MBC00099,Platinum,CUS00447
MBC00100,Diamond,CUS00705
MBC00101,Platinum,CUS00210
MBC00102,Silver,CUS00097
MBC00103,Diamond,CUS00338
MBC00104,Platinum,CUS00442
MBC00105,Gold,CUS00226
MBC00106,Diamond,CUS00544
MBC00107,Diamond,CUS00746
MBC00108,Diamond,CUS00356
MBC00109,Diamond,CUS00714
MBC00110,Gold,CUS00076
MBC00111,Gold,CUS00399
MBC00112,Silver,CUS00427
MBC00113,Gold,CUS00142
MBC00114,Silver,CUS00091
MBC00115,Silver,CUS00745
MBC00116,Gold,CUS00570
MBC00117,Diamond,CUS00010
MBC00118,Platinum,CUS00494
MBC00119,Platinum,CUS00682
MBC00120,Diamond,CUS00082
MBC00121,Silver,CUS00220
MBC00122,Silver,CUS00213
MBC00123,Platinum,CUS00125
MBC00124,Platinum,CUS00534
MBC00125,Platinum,CUS00748
MBC00126,Gold,CUS00574
MBC00127,Gold,CUS00736
MBC00128,Platinum,CUS00316
MBC00129,Silver,CUS00604
MBC00130,Silver,CUS00266
MBC00131,Diamond,CUS00577
MBC00132,Silver,CUS00371
MBC00133,Gold,CUS00316
MBC00134,Diamond,CUS00132
MBC00135,Gold,CUS00603
MBC00136,Platinum,CUS00096
MBC00137,Diamond,CUS00486
MBC00138,Gold,CUS00655
MBC00139,Silver,CUS00578
MBC00140,Platinum,CUS00747
MBC00141,Gold,CUS00130
MBC00142,Diamond,CUS00506
MBC00143,Silver,CUS00570
MBC00144,Platinum,CUS00523
MBC00145,Diamond,CUS00642
MBC00146,Diamond,CUS00340
MBC00147,Diamond,CUS00706
MBC00148,Gold,CUS00608
MBC00149,Gold,CUS00377
MBC00150,Gold,CUS00163
MBC00151,Gold,CUS00735
MBC00152,Silver,CUS00779
MBC00153,Silver,CUS00540
MBC00154,Gold,CUS00158
MBC00155,Gold,CUS00383
MBC00156,Gold,CUS00043
MBC00157,Diamond,CUS00523
MBC00158,Platinum,CUS00438
MBC00159,Platinum,CUS00698
MBC00160,Diamond,CUS00497
MBC00161,Diamond,CUS00655
MBC00162,Diamond,CUS00515
MBC00163,Silver,CUS00626
MBC00164,Diamond,CUS00286
MBC00165,Platinum,CUS00565
MBC00166,Gold,CUS00492
MBC00167,Platinum,CUS00752
MBC00168,Platinum,CUS00589
MBC00169,Platinum,CUS00589
MBC00170,Diamond,CUS00343
MBC00171,Gold,CUS00082
MBC00172,Gold,CUS00366
MBC00173,Gold,CUS00084
MBC00174,Diamond,CUS00331
MBC00175,Platinum,CUS00701
MBC00176,Platinum,CUS00615
MBC00177,Gold,CUS00516
MBC00178,Diamond,CUS00282
MBC00179,Diamond,CUS00284
MBC00180,Silver,CUS00703
MBC00181,Silver,CUS00723
MBC00182,Platinum,CUS00540
MBC00183,Diamond,CUS00701
MBC00184,Gold,CUS00439
MBC00185,Diamond,CUS00331
MBC00186,Silver,CUS00767
MBC00187,Silver,CUS00632
MBC00188,Diamond,CUS00435
MBC00189,Platinum,CUS00343
MBC00190,Gold,CUS00275
MBC00191,Diamond,CUS00365
MBC00192,Platinum,CUS00074
MBC00193,Platinum,CUS00798
MBC00194,Diamond,CUS00319
MBC00195,Silver,CUS00627
MBC00196,Diamond,CUS00452
MBC00197,Diamond,CUS00244
MBC00198,Silver,CUS00052
MBC00199,Gold,CUS00360
MBC00200,Gold,CUS00063
MBC00201,Silver,CUS00406
MBC00202,Gold,CUS00039
MBC00203,Silver,CUS00777
MBC00204,Platinum,CUS00590
MBC00205,Diamond,CUS00668
MBC00206,Gold,CUS00177
MBC00207,Platinum,CUS00149
MBC00208,Gold,CUS00537
MBC00209,Platinum,CUS00778
MBC00210,Gold,CUS00313
MBC00211,Gold,CUS00492
MBC00212,Diamond,CUS00421
MBC00213,Silver,CUS00582
MBC00214,Platinum,CUS00447
MBC00215,Silver,CUS00085
MBC00216,Silver,CUS00282
MBC00217,Silver,CUS00209
MBC00218,Gold,CUS00308
MBC00219,Silver,CUS00074
MBC00220,Platinum,CUS00225
MBC00221,Diamond,CUS00766
MBC00222,Gold,CUS00384
MBC00223,Diamond,CUS00410
MBC00224,Diamond,CUS00107
MBC00225,Platinum,CUS00335
MBC00226,Platinum,CUS00280
MBC00227,Diamond,CUS00017
MBC00228,Platinum,CUS00251
MBC00229,Gold,CUS00403
MBC00230,Silver,CUS00630
MBC00231,Diamond,CUS00497
MBC00232,Platinum,CUS00766
MBC00233,Diamond,CUS00649
MBC00234,Gold,CUS00508
MBC00235,Gold,CUS00050
MBC00236,Platinum,CUS00768
MBC00237,Gold,CUS00405
MBC00238,Platinum,CUS00640
MBC00239,Silver,CUS00110
MBC00240,Gold,CUS00728
MBC00241,Platinum,CUS00419
MBC00242,Diamond,CUS00757
MBC00243,Gold,CUS00514
MBC00244,Platinum,CUS00756
MBC00245,Silver,CUS00175
MBC00246,Silver,CUS00366
MBC00247,Platinum,CUS00740
MBC00248,Gold,CUS00571
MBC00249,Gold,CUS00021
MBC00250,Diamond,CUS00465
MBC00251,Platinum,CUS00328
MBC00252,Gold,CUS00092
MBC00253,Gold,CUS00396
MBC00254,Gold,CUS00427
MBC00255,Platinum,CUS00223
MBC00256,Platinum,CUS00408
MBC00257,Diamond,CUS00657
MBC00258,Platinum,CUS00296
MBC00259,Diamond,CUS00003
MBC00260,Diamond,CUS00575
MBC00261,Silver,CUS00493
MBC00262,Platinum,CUS00085
MBC00263,Silver,CUS00622
MBC00264,Silver,CUS00468
MBC00265,Diamond,CUS00384
MBC00266,Platinum,CUS00071
MBC00267,Gold,CUS00587
MBC00268,Platinum,CUS00307
MBC00269,Silver,CUS00315
MBC00270,Gold,CUS00348
MBC00271,Gold,CUS00689
MBC00272,Silver,CUS00440
MBC00273,Platinum,CUS00635
MBC00274,Gold,CUS00533
MBC00275,Gold,CUS00530
MBC00276,Platinum,CUS00679
MBC00277,Diamond,CUS00279
MBC00278,Diamond,CUS00456
MBC00279,Diamond,CUS00359
MBC00280,Diamond,CUS00799
MBC00281,Platinum,CUS00597
MBC00282,Silver,CUS00493
MBC00283,Silver,CUS00371
MBC00284,Platinum,CUS00311
MBC00285,Platinum,CUS00665
MBC00286,Gold,CUS00654
MBC00287,Platinum,CUS00228
MBC00288,Diamond,CUS00550
MBC00289,Diamond,CUS00674
MBC00290,Diamond,CUS00105
MBC00291,Platinum,CUS00421
MBC00292,Gold,CUS00145
MBC00293,Silver,CUS00597
MBC00294,Platinum,CUS00787
MBC00295,Silver,CUS00499
MBC00296,Diamond,CUS00711
MBC00297,Gold,CUS00306
MBC00298,Silver,CUS00355
MBC00299,Gold,CUS00369
MBC00300,Diamond,CUS00478
MBC00301,Silver,CUS00053
MBC00302,Silver,CUS00113
MBC00303,Silver,CUS00342
MBC00304,Platinum,CUS00474
MBC00305,Diamond,CUS00235
MBC00306,Platinum,CUS00630
MBC00307,Platinum,CUS00247
MBC00308,Silver,CUS00676
MBC00309,Platinum,CUS00711
MBC00310,Diamond,CUS00137
MBC00311,Gold,CUS00361
MBC00312,Platinum,CUS00480
MBC00313,Platinum,CUS00411
MBC00314,Platinum,CUS00107
MBC00315,Gold,CUS00351
MBC00316,Platinum,CUS00664
MBC00317,Diamond,CUS00317
MBC00318,Silver,CUS00403
MBC00319,Platinum,CUS00665
MBC00320,Platinum,CUS00479
MBC00321,Gold,CUS00635
MBC00322,Platinum,CUS00156
MBC00323,Gold,CUS00149
MBC00324,Platinum,CUS00382
MBC00325,Platinum,CUS00566
MBC00326,Silver,CUS00794
MBC00327,Platinum,CUS00498
MBC00328,Platinum,CUS00500
MBC00329,Platinum,CUS00514
MBC00330,Silver,CUS00670
MBC00331,Diamond,CUS00413
MBC00332,Silver,CUS00160
MBC00333,Platinum,CUS00644
MBC00334,Silver,CUS00796
MBC00335,Gold,CUS00421
MBC00336,Gold,CUS00245
MBC00337,Gold,CUS00760
MBC00338,Platinum,CUS00455
MBC00339,Silver,CUS00308
MBC00340,Silver,CUS00477
MBC00341,Silver,CUS00258
MBC00342,Diamond,CUS00608
MBC00343,Diamond,CUS00649
MBC00344,Silver,CUS00261
MBC00345,Diamond,CUS00686
MBC00346,Diamond,CUS00738
MBC00347,Gold,CUS00298
MBC00348,Silver,CUS00570
MBC00349,Platinum,CUS00731
MBC00350,Platinum,CUS00586
MBC00351,Platinum,CUS00043
MBC00352,Gold,CUS00512
MBC00353,Platinum,CUS00382
MBC00354,Diamond,CUS00038
MBC00355,Silver,CUS00473
MBC00356,Silver,CUS00196
MBC00357,Diamond,CUS00104
MBC00358,Silver,CUS00080
MBC00359,Diamond,CUS00357
MBC00360,Silver,CUS00675
MBC00361,Silver,CUS00777
MBC00362,Silver,CUS00449
MBC00363,Silver,CUS00393
MBC00364,Diamond,CUS00587
MBC00365,Platinum,CUS00589
MBC00366,Silver,CUS00501
MBC00367,Diamond,CUS00718
MBC00368,Gold,CUS00542
MBC00369,Platinum,CUS00322
MBC00370,Silver,CUS00408
MBC00371,Gold,CUS00113
MBC00372,Platinum,CUS00593
MBC00373,Gold,CUS00681
MBC00374,Diamond,CUS00456
MBC00375,Diamond,CUS00694
MBC00376,Gold,CUS00362
MBC00377,Gold,CUS00439
MBC00378,Diamond,CUS00246
MBC00379,Platinum,CUS00690
MBC00380,Platinum,CUS00721
MBC00381,Diamond,CUS00047
MBC00382,Diamond,CUS00060
MBC00383,Diamond,CUS00132
MBC00384,Gold,CUS00547
MBC00385,Gold,CUS00277
MBC00386,Silver,CUS00219
MBC00387,Gold,CUS00354
MBC00388,Silver,CUS00772
MBC00389,Gold,CUS00627
MBC00390,Silver,CUS00077
MBC00391,Platinum,CUS00195
MBC00392,Silver,CUS00619
MBC00393,Diamond,CUS00318
MBC00394,Gold,CUS00505
MBC00395,Platinum,CUS00630
MBC00396,Gold,CUS00443
MBC00397,Diamond,CUS00689
MBC00398,Gold,CUS00322
MBC00399,Diamond,CUS00730
MBC00400,Diamond,CUS00453
MBC00401,Silver,CUS00712
MBC00402,Platinum,CUS00533
MBC00403,Silver,CUS00201
MBC00404,Silver,CUS00681
MBC00405,Silver,CUS00468
MBC00406,Gold,CUS00373
MBC00407,Diamond,CUS00374
MBC00408,Gold,CUS00400
MBC00409,Silver,CUS00526
MBC00410,Gold,CUS00351
MBC00411,Gold,CUS00686
MBC00412,Diamond,CUS00243
MBC00413,Diamond,CUS00606
MBC00414,Platinum,CUS00725
MBC00415,Silver,CUS00145
MBC00416,Diamond,CUS00440
MBC00417,Silver,CUS00091
MBC00418,Gold,CUS00689
MBC00419,Gold,CUS00201
MBC00420,Gold,CUS00078
MBC00421,Platinum,CUS00642
MBC00422,Gold,CUS00331
MBC00423,Gold,CUS00387
MBC00424,Silver,CUS00111
MBC00425,Diamond,CUS00658
MBC00426,Gold,CUS00342
MBC00427,Platinum,CUS00404
MBC00428,Platinum,CUS00463
MBC00429,Platinum,CUS00645
MBC00430,Platinum,CUS00387
MBC00431,Platinum,CUS00717
MBC00432,Gold,CUS00186
MBC00433,Platinum,CUS00703
MBC00434,Platinum,CUS00287
MBC00435,Platinum,CUS00079
MBC00436,Silver,CUS00534
MBC00437,Silver,CUS00792
MBC00438,Platinum,CUS00088
MBC00439,Gold,CUS00392
MBC00440,Diamond,CUS00193
MBC00441,Silver,CUS00704
MBC00442,Platinum,CUS00148
MBC00443,Silver,CUS00212
MBC00444,Silver,CUS00707
MBC00445,Gold,CUS00456
MBC00446,Diamond,CUS00526
MBC00447,Platinum,CUS00800
MBC00448,Silver,CUS00550
MBC00449,Platinum,CUS00509
MBC00450,Silver,CUS00267
MBC00451,Diamond,CUS00687
MBC00452,Gold,CUS00170
MBC00453,Silver,CUS00077
MBC00454,Platinum,CUS00678
MBC00455,Gold,CUS00204
MBC00456,Gold,CUS00332
MBC00457,Platinum,CUS00062
MBC00458,Silver,CUS00114
MBC00459,Gold,CUS00454
MBC00460,Gold,CUS00555
MBC00461,Gold,CUS00399
MBC00462,Silver,CUS00201
MBC00463,Silver,CUS00521
MBC00464,Diamond,CUS00797
MBC00465,Diamond,CUS00299
MBC00466,Diamond,CUS00495
MBC00467,Silver,CUS00750
MBC00468,Silver,CUS00432
MBC00469,Diamond,CUS00446
MBC00470,Silver,CUS00557
MBC00471,Gold,CUS00795
MBC00472,Diamond,CUS00387
MBC00473,Gold,CUS00759
MBC00474,Platinum,CUS00003
MBC00475,Diamond,CUS00432
MBC00476,Diamond,CUS00706
MBC00477,Silver,CUS00652
MBC00478,Diamond,CUS00190
MBC00479,Silver,CUS00511
MBC00480,Gold,CUS00043
MBC00481,Platinum,CUS00559
MBC00482,Diamond,CUS00575
MBC00483,Silver,CUS00673
MBC00484,Platinum,CUS00106
MBC00485,Diamond,CUS00589
MBC00486,Gold,CUS00046
MBC00487,Gold,CUS00688
MBC00488,Gold,CUS00397
MBC00489,Platinum,CUS00671
MBC00490,Platinum,CUS00411
MBC00491,Platinum,CUS00630
MBC00492,Diamond,CUS00479
MBC00493,Platinum,CUS00112
MBC00494,Silver,CUS00411
MBC00495,Silver,CUS00331
MBC00496,Gold,CUS00624
MBC00497,Silver,CUS00397
MBC00498,Platinum,CUS00583
MBC00499,Silver,CUS00579
MBC00500,Diamond,CUS00661
