InvoiceID,RentTime,TotalPrice,PaymentMethod,CreateTime,Status,BookingID,DiscountID,CourtID,CID
INV00026,2024-02-02 19:46:25,514106,Ví điện tử,2024-02-02 19:46:25,Đã thanh toán,BKG00636,DSC026,CRT0024,EMP0057
INV00027,2024-12-23 12:50:54,2899118,Ví điện tử,2024-12-23 12:50:54,Hủy,BKG00819,DSC029,CRT0060,EMP0048
INV00028,2024-06-17 04:04:21,1714248,Tiền mặt,2024-06-17 04:04:21,Hủy,BKG00516,DSC026,CRT0031,EMP0051
INV00029,2024-05-17 00:13:41,627317,Thẻ,2024-05-17 00:13:41,Hủy,BKG01025,DSC001,CRT0043,EMP0095
INV00030,2024-02-24 05:53:46,2558346,Thẻ,2024-02-24 05:53:46,Chưa thanh toán,BKG00637,DSC028,CRT0022,EMP0113
INV00031,2024-01-28 10:07:46,2159451,Ví điện tử,2024-01-28 10:07:46,Hủy,BKG00128,DSC024,CRT0019,EMP0074
INV00032,2024-02-22 04:19:26,2588416,Ví điện tử,2024-02-22 04:19:26,Đã thanh toán,BKG01027,DSC036,CRT0032,EMP0019
INV00033,2024-04-26 03:41:09,1257099,Tiền mặt,2024-04-26 03:41:09,Hủy,BKG00342,DSC010,CRT0001,EMP0056
INV00034,2024-09-28 18:54:11,2423688,Chuyển khoản,2024-09-28 18:54:11,Hủy,BKG00084,DSC024,CRT0027,EMP0114
INV00035,2024-11-17 02:58:52,2349026,Ví điện tử,2024-11-17 02:58:52,Hủy,BKG00476,DSC030,CRT0042,EMP0068
INV00036,2024-04-17 01:03:03,245546,Chuyển khoản,2024-04-17 01:03:03,Đã thanh toán,BKG00779,DSC004,CRT0052,EMP0062
INV00037,2024-06-10 03:00:49,1911068,Chuyển khoản,2024-06-10 03:00:49,Chưa thanh toán,BKG01197,DSC013,CRT0003,EMP0032
INV00038,2024-04-09 18:53:00,1136713,Chuyển khoản,2024-04-09 18:53:00,Hủy,BKG00398,DSC004,CRT0006,EMP0070
INV00039,2024-11-14 18:02:53,1102712,Tiền mặt,2024-11-14 18:02:53,Chưa thanh toán,BKG00041,DSC016,CRT0058,EMP0011
INV00040,2024-11-07 01:35:39,2232007,Thẻ,2024-11-07 01:35:39,Hủy,BKG00044,DSC017,CRT0026,EMP0046
INV00041,2024-07-25 12:31:17,1456367,Thẻ,2024-07-25 12:31:17,Chưa thanh toán,BKG01072,DSC022,CRT0032,EMP0041
INV00042,2024-09-27 12:07:33,1314459,Tiền mặt,2024-09-27 12:07:33,Đã thanh toán,BKG00315,DSC023,CRT0037,EMP0051
INV00043,2024-01-30 01:22:13,1259641,Thẻ,2024-01-30 01:22:13,Đã thanh toán,BKG00844,DSC013,CRT0039,EMP0059
INV00044,2024-06-25 15:15:18,2294805,Ví điện tử,2024-06-25 15:15:18,Hủy,BKG00650,DSC014,CRT0005,EMP0120
INV00045,2024-12-07 15:21:02,2390958,Tiền mặt,2024-12-07 15:21:02,Hủy,BKG01028,DSC013,CRT0030,EMP0092
INV00046,2024-04-03 19:16:39,1476480,Ví điện tử,2024-04-03 19:16:39,Chưa thanh toán,BKG00814,DSC023,CRT0028,EMP0117
INV00047,2024-09-12 04:09:02,952843,Ví điện tử,2024-09-12 04:09:02,Hủy,BKG01178,DSC035,CRT0023,EMP0091
INV00048,2024-04-07 05:18:03,386436,Thẻ,2024-04-07 05:18:03,Hủy,BKG01094,DSC030,CRT0060,EMP0019
INV00049,2024-05-30 07:47:45,292561,Tiền mặt,2024-05-30 07:47:45,Hủy,BKG00252,DSC045,CRT0039,EMP0079
INV00050,2024-06-16 20:04:10,640683,Thẻ,2024-06-16 20:04:10,Hủy,BKG00870,DSC017,CRT0060,EMP0078
INV00051,2024-07-01 17:37:44,1865404,Ví điện tử,2024-07-01 17:37:44,Hủy,BKG00345,DSC046,CRT0038,EMP0026
INV00052,2024-12-29 10:50:15,2351000,Thẻ,2024-12-29 10:50:15,Chưa thanh toán,BKG00282,DSC019,CRT0028,EMP0068
INV00053,2024-07-07 10:49:26,2574030,Tiền mặt,2024-07-07 10:49:26,Chưa thanh toán,BKG00392,DSC030,CRT0028,EMP0062
INV00054,2024-11-11 14:28:27,116460,Tiền mặt,2024-11-11 14:28:27,Hủy,BKG01013,DSC009,CRT0053,EMP0010
INV00055,2024-11-01 11:53:19,2701100,Chuyển khoản,2024-11-01 11:53:19,Hủy,BKG00261,DSC021,CRT0054,EMP0002
INV00056,2024-09-13 11:27:20,2005038,Tiền mặt,2024-09-13 11:27:20,Đã thanh toán,BKG00207,DSC011,CRT0059,EMP0017
INV00057,2024-09-04 08:43:38,415543,Thẻ,2024-09-04 08:43:38,Hủy,BKG00085,DSC037,CRT0041,EMP0036
INV00058,2024-11-05 08:00:31,1705121,Thẻ,2024-11-05 08:00:31,Đã thanh toán,BKG00625,DSC011,CRT0053,EMP0093
INV00059,2024-09-24 10:28:40,867021,Thẻ,2024-09-24 10:28:40,Đã thanh toán,BKG00074,DSC010,CRT0007,EMP0051
INV00060,2024-06-07 11:09:19,1010441,Thẻ,2024-06-07 11:09:19,Chưa thanh toán,BKG00483,DSC041,CRT0039,EMP0028
INV00061,2024-07-21 16:40:55,752880,Ví điện tử,2024-07-21 16:40:55,Chưa thanh toán,BKG00387,DSC019,CRT0047,EMP0017
INV00062,2024-05-05 10:52:56,1109075,Tiền mặt,2024-05-05 10:52:56,Chưa thanh toán,BKG01103,DSC044,CRT0006,EMP0036
INV00063,2024-01-21 20:05:37,2797797,Thẻ,2024-01-21 20:05:37,Chưa thanh toán,BKG00643,DSC032,CRT0021,EMP0110
INV00064,2024-09-18 04:44:14,1247789,Thẻ,2024-09-18 04:44:14,Hủy,BKG00126,DSC011,CRT0010,EMP0114
INV00065,2024-04-25 13:08:28,895350,Thẻ,2024-04-25 13:08:28,Đã thanh toán,BKG00710,DSC049,CRT0004,EMP0063
INV00066,2024-01-06 14:59:17,2617626,Tiền mặt,2024-01-06 14:59:17,Hủy,BKG00506,DSC014,CRT0012,EMP0066
INV00067,2024-09-05 09:58:46,2469805,Thẻ,2024-09-05 09:58:46,Đã thanh toán,BKG00954,DSC039,CRT0002,EMP0018
INV00068,2024-01-02 12:26:20,1367853,Tiền mặt,2024-01-02 12:26:20,Đã thanh toán,BKG00415,,CRT0006,EMP0004
INV00069,2024-07-07 01:13:28,503461,Thẻ,2024-07-07 01:13:28,Hủy,BKG01142,DSC043,CRT0012,EMP0031
INV00070,2024-09-24 18:13:47,1113034,Chuyển khoản,2024-09-24 18:13:47,Đã thanh toán,BKG01002,DSC009,CRT0031,EMP0081
INV00071,2024-06-18 09:21:14,1587295,Tiền mặt,2024-06-18 09:21:14,Đã thanh toán,BKG00527,DSC022,CRT0029,EMP0051
INV00072,2024-02-19 10:16:39,1961487,Thẻ,2024-02-19 10:16:39,Đã thanh toán,BKG00975,DSC023,CRT0015,EMP0044
INV00073,2024-08-04 11:29:46,547697,Ví điện tử,2024-08-04 11:29:46,Đã thanh toán,BKG00959,DSC019,CRT0007,EMP0024
INV00074,2024-06-15 05:09:44,543559,Chuyển khoản,2024-06-15 05:09:44,Hủy,BKG00506,DSC022,CRT0038,EMP0028
INV00075,2024-04-13 09:41:07,851753,Tiền mặt,2024-04-13 09:41:07,Đã thanh toán,BKG00105,DSC030,CRT0054,EMP0018
INV00076,2024-01-23 20:42:00,2791352,Chuyển khoản,2024-01-23 20:42:00,Hủy,BKG00426,DSC007,CRT0057,EMP0033
INV00077,2024-04-06 22:04:34,2488211,Thẻ,2024-04-06 22:04:34,Hủy,BKG00895,DSC004,CRT0011,EMP0061
INV00078,2024-03-11 06:26:30,1308049,Tiền mặt,2024-03-11 06:26:30,Chưa thanh toán,BKG00970,DSC029,CRT0013,EMP0028
INV00079,2024-08-22 04:33:52,2631988,Tiền mặt,2024-08-22 04:33:52,Hủy,BKG00453,DSC003,CRT0029,EMP0118
INV00080,2024-08-21 05:11:52,559872,Chuyển khoản,2024-08-21 05:11:52,Hủy,BKG00905,DSC010,CRT0023,EMP0077
INV00081,2024-09-27 14:48:36,1620987,Tiền mặt,2024-09-27 14:48:36,Đã thanh toán,BKG00947,DSC021,CRT0043,EMP0118
INV00082,2024-11-07 11:33:56,858161,Chuyển khoản,2024-11-07 11:33:56,Chưa thanh toán,BKG00184,DSC006,CRT0027,EMP0087
INV00083,2024-01-14 01:08:29,1742473,Tiền mặt,2024-01-14 01:08:29,Chưa thanh toán,BKG00667,DSC042,CRT0039,EMP0012
INV00084,2024-10-05 12:14:33,1258073,Chuyển khoản,2024-10-05 12:14:33,Đã thanh toán,BKG00389,DSC017,CRT0026,EMP0033
INV00085,2024-04-13 17:02:45,1316773,Ví điện tử,2024-04-13 17:02:45,Hủy,BKG00431,DSC017,CRT0053,EMP0021
INV00086,2024-02-06 01:56:04,1160666,Tiền mặt,2024-02-06 01:56:04,Hủy,BKG00321,DSC010,CRT0045,EMP0098
INV00087,2024-01-22 21:26:50,2043592,Ví điện tử,2024-01-22 21:26:50,Đã thanh toán,BKG00308,DSC041,CRT0011,EMP0118
INV00088,2024-10-05 18:24:36,2198099,Tiền mặt,2024-10-05 18:24:36,Hủy,BKG00654,DSC016,CRT0011,EMP0060
INV00089,2024-07-16 00:06:27,1970816,Tiền mặt,2024-07-16 00:06:27,Chưa thanh toán,BKG00655,DSC035,CRT0043,EMP0062
INV00090,2024-08-21 15:10:36,1015613,Chuyển khoản,2024-08-21 15:10:36,Chưa thanh toán,BKG01107,DSC013,CRT0049,EMP0048
INV00091,2024-01-06 12:57:25,282863,Ví điện tử,2024-01-06 12:57:25,Chưa thanh toán,BKG00089,DSC038,CRT0058,EMP0008
INV00092,2024-09-03 06:34:42,689344,Ví điện tử,2024-09-03 06:34:42,Hủy,BKG01054,DSC022,CRT0047,EMP0111
INV00093,2024-07-03 19:11:26,1970426,Ví điện tử,2024-07-03 19:11:26,Chưa thanh toán,BKG00581,DSC022,CRT0026,EMP0048
INV00094,2024-07-05 04:39:02,794989,Tiền mặt,2024-07-05 04:39:02,Chưa thanh toán,BKG00633,DSC036,CRT0030,EMP0084
INV00095,2024-04-22 08:25:26,1250152,Thẻ,2024-04-22 08:25:26,Đã thanh toán,BKG00444,DSC027,CRT0015,EMP0024
INV00096,2024-05-17 08:47:19,2820036,Thẻ,2024-05-17 08:47:19,Chưa thanh toán,BKG00847,,CRT0055,EMP0111
INV00097,2024-05-09 18:49:40,1344392,Thẻ,2024-05-09 18:49:40,Chưa thanh toán,BKG00842,DSC048,CRT0048,EMP0026
INV00098,2024-06-29 19:08:29,1411175,Tiền mặt,2024-06-29 19:08:29,Hủy,BKG00418,DSC032,CRT0021,EMP0097
INV00099,2024-05-22 07:34:11,553929,Ví điện tử,2024-05-22 07:34:11,Đã thanh toán,BKG01024,,CRT0026,EMP0073
INV00100,2024-09-30 06:21:34,2475317,Ví điện tử,2024-09-30 06:21:34,Chưa thanh toán,BKG01188,DSC024,CRT0027,EMP0042
INV00101,2024-01-17 05:22:17,2786726,Ví điện tử,2024-01-17 05:22:17,Hủy,BKG00469,DSC050,CRT0046,EMP0029
INV00102,2024-05-02 05:55:54,743600,Thẻ,2024-05-02 05:55:54,Hủy,BKG01167,DSC012,CRT0054,EMP0051
INV00103,2024-04-09 12:46:07,2773565,Chuyển khoản,2024-04-09 12:46:07,Chưa thanh toán,BKG00181,DSC009,CRT0001,EMP0073
INV00104,2024-12-10 14:15:05,636376,Thẻ,2024-12-10 14:15:05,Đã thanh toán,BKG00190,DSC021,CRT0047,EMP0034
INV00105,2024-07-05 09:31:29,2565720,Chuyển khoản,2024-07-05 09:31:29,Đã thanh toán,BKG00755,DSC041,CRT0054,EMP0093
INV00106,2024-09-06 00:10:30,647196,Tiền mặt,2024-09-06 00:10:30,Đã thanh toán,BKG00993,DSC015,CRT0026,EMP0053
INV00107,2024-01-28 05:15:19,1294286,Tiền mặt,2024-01-28 05:15:19,Chưa thanh toán,BKG00880,DSC010,CRT0020,EMP0028
INV00108,2024-08-28 07:53:28,2079141,Ví điện tử,2024-08-28 07:53:28,Chưa thanh toán,BKG01117,DSC003,CRT0005,EMP0029
INV00109,2024-03-10 11:49:17,2576054,Chuyển khoản,2024-03-10 11:49:17,Đã thanh toán,BKG00293,DSC036,CRT0008,EMP0003
INV00110,2024-09-04 22:04:44,723294,Chuyển khoản,2024-09-04 22:04:44,Hủy,BKG00390,DSC020,CRT0039,EMP0020
INV00111,2024-09-04 18:13:51,1648875,Thẻ,2024-09-04 18:13:51,Hủy,BKG00179,DSC003,CRT0046,EMP0087
INV00112,2024-06-02 01:29:35,658205,Ví điện tử,2024-06-02 01:29:35,Hủy,BKG00534,DSC036,CRT0002,EMP0059
INV00113,2024-09-08 00:59:25,2900179,Tiền mặt,2024-09-08 00:59:25,Hủy,BKG00673,DSC038,CRT0013,EMP0078
INV00114,2024-06-30 16:33:48,2358620,Ví điện tử,2024-06-30 16:33:48,Đã thanh toán,BKG00603,DSC014,CRT0049,EMP0064
INV00115,2024-09-23 19:39:31,2715997,Chuyển khoản,2024-09-23 19:39:31,Đã thanh toán,BKG00104,DSC002,CRT0029,EMP0065
INV00116,2024-04-27 20:20:34,1774528,Thẻ,2024-04-27 20:20:34,Hủy,BKG00804,DSC028,CRT0025,EMP0078
INV00117,2024-08-06 06:17:46,1031055,Thẻ,2024-08-06 06:17:46,Chưa thanh toán,BKG00010,DSC028,CRT0044,EMP0073
INV00118,2024-07-20 04:29:14,1813267,Thẻ,2024-07-20 04:29:14,Hủy,BKG00326,DSC033,CRT0057,EMP0088
INV00119,2024-01-07 08:51:31,2320370,Thẻ,2024-01-07 08:51:31,Hủy,BKG00687,DSC021,CRT0038,EMP0024
INV00120,2024-06-14 21:32:49,792762,Ví điện tử,2024-06-14 21:32:49,Đã thanh toán,BKG00977,DSC037,CRT0051,EMP0024
INV00121,2024-08-07 15:27:06,713806,Chuyển khoản,2024-08-07 15:27:06,Đã thanh toán,BKG00293,DSC014,CRT0021,EMP0058
INV00122,2024-04-05 04:00:33,2750830,Chuyển khoản,2024-04-05 04:00:33,Đã thanh toán,BKG00846,DSC020,CRT0059,EMP0070
INV00123,2024-01-22 07:15:35,2960615,Chuyển khoản,2024-01-22 07:15:35,Đã thanh toán,BKG00958,DSC018,CRT0012,EMP0025
INV00124,2024-09-04 18:54:13,1154471,Tiền mặt,2024-09-04 18:54:13,Đã thanh toán,BKG00853,DSC028,CRT0026,EMP0014
INV00125,2024-02-08 21:16:48,1351002,Tiền mặt,2024-02-08 21:16:48,Đã thanh toán,BKG00792,DSC039,CRT0006,EMP0070
INV00126,2024-12-03 21:48:59,2252524,Ví điện tử,2024-12-03 21:48:59,Hủy,BKG00346,DSC026,CRT0033,EMP0105
INV00127,2024-10-16 19:10:45,2280842,Chuyển khoản,2024-10-16 19:10:45,Đã thanh toán,BKG01069,DSC045,CRT0031,EMP0079
INV00128,2024-04-07 07:34:34,2633656,Thẻ,2024-04-07 07:34:34,Chưa thanh toán,BKG00039,DSC017,CRT0049,EMP0032
INV00129,2024-07-21 00:04:11,1891991,Tiền mặt,2024-07-21 00:04:11,Chưa thanh toán,BKG00664,DSC040,CRT0027,EMP0103
INV00130,2024-09-16 02:57:01,1357014,Chuyển khoản,2024-09-16 02:57:01,Hủy,BKG00097,DSC018,CRT0055,EMP0072
INV00131,2024-09-11 16:15:22,1087067,Tiền mặt,2024-09-11 16:15:22,Chưa thanh toán,BKG01116,DSC007,CRT0016,EMP0070
INV00132,2024-06-02 10:03:30,2529769,Ví điện tử,2024-06-02 10:03:30,Hủy,BKG00391,DSC048,CRT0018,EMP0061
INV00133,2024-01-27 10:53:47,667153,Chuyển khoản,2024-01-27 10:53:47,Hủy,BKG00417,DSC042,CRT0032,EMP0064
INV00134,2024-08-24 20:52:43,2411205,Chuyển khoản,2024-08-24 20:52:43,Chưa thanh toán,BKG00187,DSC001,CRT0050,EMP0087
INV00135,2024-12-27 07:46:08,216614,Thẻ,2024-12-27 07:46:08,Chưa thanh toán,BKG00790,DSC005,CRT0014,EMP0013
INV00136,2024-01-13 01:40:51,124762,Tiền mặt,2024-01-13 01:40:51,Đã thanh toán,BKG00314,DSC041,CRT0016,EMP0075
INV00137,2024-02-28 23:50:02,1007014,Ví điện tử,2024-02-28 23:50:02,Hủy,BKG00400,DSC005,CRT0016,EMP0105
INV00138,2024-10-22 02:24:41,2976173,Tiền mặt,2024-10-22 02:24:41,Hủy,BKG00137,DSC014,CRT0019,EMP0099
INV00139,2024-08-02 21:15:09,844208,Chuyển khoản,2024-08-02 21:15:09,Chưa thanh toán,BKG00344,DSC006,CRT0032,EMP0006
INV00140,2024-02-17 10:55:23,2403780,Tiền mặt,2024-02-17 10:55:23,Chưa thanh toán,BKG00874,DSC039,CRT0031,EMP0024
INV00141,2024-03-12 01:03:14,2710640,Chuyển khoản,2024-03-12 01:03:14,Chưa thanh toán,BKG00038,DSC023,CRT0058,EMP0109
INV00142,2024-09-14 12:24:55,2014697,Tiền mặt,2024-09-14 12:24:55,Chưa thanh toán,BKG00656,DSC032,CRT0026,EMP0116
INV00143,2024-09-28 12:36:30,123920,Tiền mặt,2024-09-28 12:36:30,Đã thanh toán,BKG00216,DSC045,CRT0042,EMP0075
INV00144,2024-05-26 02:36:25,1537613,Thẻ,2024-05-26 02:36:25,Hủy,BKG00357,DSC014,CRT0019,EMP0109
INV00145,2024-04-02 14:35:22,1178685,Ví điện tử,2024-04-02 14:35:22,Chưa thanh toán,BKG01046,DSC014,CRT0059,EMP0100
INV00146,2024-05-24 17:59:02,405053,Thẻ,2024-05-24 17:59:02,Đã thanh toán,BKG00584,DSC021,CRT0047,EMP0064
INV00147,2024-08-28 07:41:39,583472,Ví điện tử,2024-08-28 07:41:39,Chưa thanh toán,BKG00953,DSC008,CRT0041,EMP0008
INV00148,2024-02-21 19:08:20,2124308,Tiền mặt,2024-02-21 19:08:20,Đã thanh toán,BKG01092,DSC010,CRT0012,EMP0116
INV00149,2024-01-21 16:07:41,295400,Tiền mặt,2024-01-21 16:07:41,Hủy,BKG00487,DSC040,CRT0043,EMP0094
INV00150,2024-12-28 09:02:52,947691,Chuyển khoản,2024-12-28 09:02:52,Chưa thanh toán,BKG01164,DSC019,CRT0042,EMP0015
INV00151,2024-03-06 03:22:06,575029,Chuyển khoản,2024-03-06 03:22:06,Chưa thanh toán,BKG00026,DSC025,CRT0002,EMP0048
INV00152,2024-04-13 00:45:44,419101,Thẻ,2024-04-13 00:45:44,Chưa thanh toán,BKG00479,DSC035,CRT0009,EMP0088
INV00153,2024-10-03 06:43:04,1991078,Tiền mặt,2024-10-03 06:43:04,Chưa thanh toán,BKG00329,DSC025,CRT0024,EMP0019
INV00154,2024-02-04 06:37:21,1023764,Thẻ,2024-02-04 06:37:21,Hủy,BKG00203,DSC008,CRT0028,EMP0060
INV00155,2024-04-22 16:14:21,794678,Ví điện tử,2024-04-22 16:14:21,Đã thanh toán,BKG00441,DSC034,CRT0011,EMP0114
INV00156,2024-09-20 22:38:27,211452,Tiền mặt,2024-09-20 22:38:27,Chưa thanh toán,BKG00171,DSC007,CRT0026,EMP0058
INV00157,2024-11-07 22:24:38,1916160,Chuyển khoản,2024-11-07 22:24:38,Hủy,BKG01100,DSC030,CRT0027,EMP0095
INV00158,2024-01-03 17:47:51,852954,Ví điện tử,2024-01-03 17:47:51,Đã thanh toán,BKG00197,DSC021,CRT0022,EMP0025
INV00159,2024-10-19 19:54:18,810032,Tiền mặt,2024-10-19 19:54:18,Chưa thanh toán,BKG00907,DSC028,CRT0015,EMP0100
INV00160,2024-03-07 10:55:16,271110,Ví điện tử,2024-03-07 10:55:16,Hủy,BKG01175,DSC040,CRT0020,EMP0011
INV00161,2024-11-09 09:02:14,1517711,Tiền mặt,2024-11-09 09:02:14,Đã thanh toán,BKG00048,DSC014,CRT0019,EMP0087
INV00162,2024-11-03 13:25:26,927898,Tiền mặt,2024-11-03 13:25:26,Chưa thanh toán,BKG01069,DSC005,CRT0018,EMP0100
INV00163,2024-09-15 03:51:26,1537461,Thẻ,2024-09-15 03:51:26,Chưa thanh toán,BKG00917,DSC002,CRT0021,EMP0102
INV00164,2024-07-23 21:45:13,1188244,Thẻ,2024-07-23 21:45:13,Đã thanh toán,BKG00656,DSC033,CRT0011,EMP0071
INV00165,2024-12-26 19:43:01,2152643,Ví điện tử,2024-12-26 19:43:01,Hủy,BKG00128,DSC029,CRT0015,EMP0101
INV00166,2024-04-07 06:51:37,1929404,Tiền mặt,2024-04-07 06:51:37,Hủy,BKG01008,DSC029,CRT0004,EMP0094
INV00167,2024-09-11 09:31:00,1053037,Thẻ,2024-09-11 09:31:00,Chưa thanh toán,BKG00921,DSC002,CRT0026,EMP0035
INV00168,2024-05-11 22:37:46,2238830,Tiền mặt,2024-05-11 22:37:46,Chưa thanh toán,BKG00660,DSC015,CRT0021,EMP0092
INV00169,2024-07-12 05:30:28,785435,Ví điện tử,2024-07-12 05:30:28,Chưa thanh toán,BKG00343,DSC029,CRT0030,EMP0083
INV00170,2024-12-27 02:48:19,676907,Tiền mặt,2024-12-27 02:48:19,Hủy,BKG00384,DSC036,CRT0037,EMP0004
INV00171,2024-07-31 11:44:49,1090938,Tiền mặt,2024-07-31 11:44:49,Chưa thanh toán,BKG00023,DSC009,CRT0024,EMP0014
INV00172,2024-01-25 13:10:06,910664,Chuyển khoản,2024-01-25 13:10:06,Đã thanh toán,BKG00057,DSC017,CRT0028,EMP0115
INV00173,2024-07-26 10:45:52,230166,Chuyển khoản,2024-07-26 10:45:52,Đã thanh toán,BKG00081,DSC005,CRT0024,EMP0004
INV00174,2024-01-17 02:24:39,1782879,Ví điện tử,2024-01-17 02:24:39,Hủy,BKG00132,DSC021,CRT0005,EMP0087
INV00175,2024-10-04 00:02:18,1245737,Ví điện tử,2024-10-04 00:02:18,Chưa thanh toán,BKG00160,DSC031,CRT0047,EMP0012
INV00176,2024-09-16 12:56:44,1747845,Ví điện tử,2024-09-16 12:56:44,Hủy,BKG01108,DSC018,CRT0023,EMP0104
INV00177,2024-06-18 04:22:03,2239997,Tiền mặt,2024-06-18 04:22:03,Chưa thanh toán,BKG00831,DSC036,CRT0013,EMP0081
INV00178,2024-12-13 06:52:01,1167938,Tiền mặt,2024-12-13 06:52:01,Đã thanh toán,BKG00918,DSC004,CRT0048,EMP0085
INV00179,2024-09-03 12:01:07,1348906,Tiền mặt,2024-09-03 12:01:07,Hủy,BKG00165,DSC035,CRT0016,EMP0070
INV00180,2024-01-25 05:59:25,621339,Thẻ,2024-01-25 05:59:25,Hủy,BKG00562,DSC007,CRT0053,EMP0117
INV00181,2024-06-07 00:20:38,2196512,Ví điện tử,2024-06-07 00:20:38,Chưa thanh toán,BKG00824,,CRT0030,EMP0057
INV00182,2024-08-14 23:40:07,1519050,Tiền mặt,2024-08-14 23:40:07,Chưa thanh toán,BKG00549,DSC009,CRT0037,EMP0052
INV00183,2024-07-06 22:38:26,263622,Ví điện tử,2024-07-06 22:38:26,Đã thanh toán,BKG00314,DSC037,CRT0051,EMP0013
INV00184,2024-04-29 00:04:30,1488759,Tiền mặt,2024-04-29 00:04:30,Chưa thanh toán,BKG00990,DSC005,CRT0056,EMP0060
INV00185,2024-12-09 10:22:01,739926,Thẻ,2024-12-09 10:22:01,Hủy,BKG00422,DSC043,CRT0036,EMP0001
INV00186,2024-05-15 22:17:58,1064702,Chuyển khoản,2024-05-15 22:17:58,Đã thanh toán,BKG00926,DSC020,CRT0033,EMP0112
INV00187,2024-06-27 19:41:38,2856154,Chuyển khoản,2024-06-27 19:41:38,Chưa thanh toán,BKG00661,DSC009,CRT0056,EMP0025
INV00188,2024-08-27 17:21:39,1581903,Ví điện tử,2024-08-27 17:21:39,Chưa thanh toán,BKG00374,DSC041,CRT0035,EMP0035
INV00189,2024-05-20 02:32:07,2205671,Chuyển khoản,2024-05-20 02:32:07,Chưa thanh toán,BKG00358,DSC032,CRT0030,EMP0022
