BookingID,CourtType,OrderDate,OrderTime,StartTime,EndTime,Status,CustomerID,SportCenterID,RID
BKG00058,Tennis,2024-09-05,11:32:35,2024-09-13 14:32:35,2024-09-13 17:32:35,Confirmed,CUS00158,CEN004,EMP0081
BKG00059,Cầu lông,2024-05-11,20:10:04,2024-05-19 21:10:04,2024-05-19 22:10:04,Pending,CUS00325,CEN005,EMP0006
BKG00060,Tennis,2024-05-29,15:02:43,2024-06-04 23:02:43,2024-06-05 01:02:43,Cancelled,CUS00261,CEN005,EMP0093
BKG00061,Cầu lông,2024-04-06,01:59:08,2024-04-13 04:59:08,2024-04-13 07:59:08,Pending,CUS00463,CEN005,EMP0099
BKG00062,Bóng đá,2024-11-04,12:36:59,2024-11-06 13:36:59,2024-11-06 14:36:59,Pending,CUS00089,CEN001,EMP0016
BKG00063,Bóng rổ,2024-07-18,10:17:08,2024-07-18 13:17:08,2024-07-18 16:17:08,Confirmed,CUS00705,CEN005,EMP0054
BKG00064,Bóng đá,2024-09-17,01:12:50,2024-09-18 08:12:50,2024-09-18 09:12:50,Confirmed,CUS00299,CEN001,EMP0103
BKG00065,Cầu lông,2024-08-20,08:13:36,2024-08-22 13:13:36,2024-08-22 14:13:36,Cancelled,CUS00635,CEN005,EMP0033
BKG00066,Tennis,2024-03-10,04:58:13,2024-03-19 09:58:13,2024-03-19 12:58:13,Pending,CUS00506,CEN001,EMP0023
BKG00067,Cầu lông,2024-02-25,04:30:51,2024-03-03 10:30:51,2024-03-03 13:30:51,Confirmed,CUS00256,CEN002,EMP0072
BKG00068,Bóng rổ,2024-03-11,14:23:09,2024-03-13 14:23:09,2024-03-13 16:23:09,Confirmed,CUS00154,CEN002,EMP0015
BKG00069,Bóng rổ,2024-03-09,09:48:51,2024-03-15 19:48:51,2024-03-15 21:48:51,Cancelled,CUS00267,CEN005,EMP0113
BKG00070,Bóng rổ,2024-11-26,02:32:59,2024-11-29 05:32:59,2024-11-29 08:32:59,Cancelled,CUS00002,CEN005,EMP0105
BKG00071,Cầu lông,2024-03-19,14:06:03,2024-03-23 18:06:03,2024-03-23 20:06:03,Confirmed,CUS00019,CEN003,EMP0065
BKG00072,Bóng rổ,2024-07-16,12:15:30,2024-07-25 21:15:30,2024-07-25 23:15:30,Pending,CUS00278,CEN004,EMP0003
BKG00073,Cầu lông,2024-01-05,00:13:49,2024-01-10 09:13:49,2024-01-10 12:13:49,Confirmed,CUS00785,CEN005,EMP0088
BKG00074,Tennis,2024-01-28,17:13:48,2024-02-06 22:13:48,2024-02-06 23:13:48,Cancelled,CUS00459,CEN004,EMP0033
BKG00075,Cầu lông,2024-06-03,06:44:25,2024-06-09 16:44:25,2024-06-09 19:44:25,Pending,CUS00164,CEN005,EMP0095
BKG00076,Tennis,2024-06-09,19:49:48,2024-06-12 23:49:48,2024-06-13 00:49:48,Confirmed,CUS00510,CEN004,EMP0041
BKG00077,Cầu lông,2024-03-03,03:28:32,2024-03-08 12:28:32,2024-03-08 13:28:32,Pending,CUS00429,CEN001,EMP0114
BKG00078,Bóng rổ,2024-05-15,15:36:56,2024-05-23 16:36:56,2024-05-23 17:36:56,Cancelled,CUS00138,CEN001,EMP0084
BKG00079,Tennis,2024-08-10,09:59:38,2024-08-12 11:59:38,2024-08-12 14:59:38,Confirmed,CUS00120,CEN001,EMP0042
BKG00080,Bóng rổ,2024-03-25,19:19:17,2024-03-25 21:19:17,2024-03-26 00:19:17,Confirmed,CUS00324,CEN005,EMP0052
BKG00081,Cầu lông,2024-06-18,06:48:16,2024-06-21 13:48:16,2024-06-21 16:48:16,Cancelled,CUS00158,CEN004,EMP0023
BKG00082,Tennis,2024-09-14,21:40:37,2024-09-16 21:40:37,2024-09-16 23:40:37,Confirmed,CUS00078,CEN003,EMP0085
BKG00083,Tennis,2024-08-30,03:27:48,2024-09-07 03:27:48,2024-09-07 06:27:48,Cancelled,CUS00565,CEN003,EMP0013
BKG00084,Cầu lông,2024-03-20,12:31:36,2024-03-21 15:31:36,2024-03-21 18:31:36,Cancelled,CUS00779,CEN001,EMP0006
BKG00085,Tennis,2024-08-10,21:06:15,2024-08-19 00:06:15,2024-08-19 03:06:15,Pending,CUS00066,CEN001,EMP0023
BKG00086,Cầu lông,2024-02-06,15:30:36,2024-02-08 16:30:36,2024-02-08 18:30:36,Cancelled,CUS00304,CEN005,EMP0085
BKG00087,Bóng đá,2024-10-03,05:07:58,2024-10-08 13:07:58,2024-10-08 14:07:58,Confirmed,CUS00557,CEN004,EMP0069
BKG00088,Bóng rổ,2024-06-04,21:54:36,2024-06-08 21:54:36,2024-06-08 22:54:36,Cancelled,CUS00113,CEN005,EMP0042
BKG00089,Tennis,2024-08-04,00:49:51,2024-08-12 00:49:51,2024-08-12 02:49:51,Confirmed,CUS00313,CEN002,EMP0108
BKG00090,Bóng đá,2024-01-17,12:52:35,2024-01-23 14:52:35,2024-01-23 17:52:35,Cancelled,CUS00510,CEN004,EMP0082
BKG00091,Bóng rổ,2024-04-04,23:23:21,2024-04-10 07:23:21,2024-04-10 09:23:21,Cancelled,CUS00398,CEN004,EMP0037
BKG00092,Bóng rổ,2024-10-17,20:34:26,2024-10-21 21:34:26,2024-10-22 00:34:26,Confirmed,CUS00742,CEN002,EMP0028
BKG00093,Tennis,2024-09-12,17:42:07,2024-09-14 18:42:07,2024-09-14 21:42:07,Pending,CUS00733,CEN004,EMP0104
BKG00094,Cầu lông,2024-03-10,12:49:36,2024-03-11 15:49:36,2024-03-11 16:49:36,Pending,CUS00313,CEN001,EMP0006
BKG00095,Tennis,2024-03-04,08:09:25,2024-03-13 12:09:25,2024-03-13 15:09:25,Pending,CUS00116,CEN003,EMP0094
BKG00096,Bóng rổ,2024-12-30,03:37:59,2025-01-07 12:37:59,2025-01-07 15:37:59,Pending,CUS00093,CEN004,EMP0111
BKG00097,Bóng rổ,2024-02-29,14:01:03,2024-03-06 23:01:03,2024-03-07 02:01:03,Cancelled,CUS00628,CEN003,EMP0074
BKG00098,Bóng đá,2024-09-10,02:10:10,2024-09-12 10:10:10,2024-09-12 13:10:10,Pending,CUS00114,CEN005,EMP0003
BKG00099,Bóng đá,2024-03-26,04:23:54,2024-04-01 10:23:54,2024-04-01 12:23:54,Pending,CUS00756,CEN002,EMP0091
BKG00100,Bóng đá,2024-01-25,05:29:52,2024-01-25 10:29:52,2024-01-25 11:29:52,Cancelled,CUS00166,CEN005,EMP0044
BKG00101,Cầu lông,2024-07-30,06:11:05,2024-08-05 09:11:05,2024-08-05 10:11:05,Pending,CUS00330,CEN001,EMP0042
BKG00102,Cầu lông,2024-04-14,22:00:23,2024-04-18 06:00:23,2024-04-18 07:00:23,Cancelled,CUS00727,CEN001,EMP0120
BKG00103,Tennis,2024-08-02,19:44:18,2024-08-05 01:44:18,2024-08-05 04:44:18,Pending,CUS00676,CEN005,EMP0099
BKG00104,Bóng đá,2024-01-24,03:53:49,2024-01-31 09:53:49,2024-01-31 12:53:49,Cancelled,CUS00443,CEN002,EMP0106
BKG00105,Bóng rổ,2024-10-20,17:06:04,2024-10-26 20:06:04,2024-10-26 21:06:04,Pending,CUS00570,CEN002,EMP0113
BKG00106,Bóng rổ,2024-09-18,10:26:42,2024-09-21 13:26:42,2024-09-21 15:26:42,Confirmed,CUS00765,CEN001,EMP0065
BKG00107,Tennis,2024-09-03,14:37:35,2024-09-05 00:37:35,2024-09-05 03:37:35,Confirmed,CUS00182,CEN004,EMP0059
BKG00108,Bóng đá,2024-04-06,05:57:47,2024-04-12 13:57:47,2024-04-12 15:57:47,Pending,CUS00001,CEN001,EMP0025
BKG00109,Cầu lông,2024-09-14,19:17:17,2024-09-22 21:17:17,2024-09-22 22:17:17,Pending,CUS00735,CEN005,EMP0020
BKG00110,Bóng đá,2024-09-18,09:03:55,2024-09-26 17:03:55,2024-09-26 20:03:55,Pending,CUS00358,CEN002,EMP0060
BKG00111,Bóng đá,2024-07-24,04:37:31,2024-07-31 09:37:31,2024-07-31 12:37:31,Cancelled,CUS00718,CEN001,EMP0052
BKG00112,Bóng rổ,2024-07-10,11:10:14,2024-07-16 12:10:14,2024-07-16 15:10:14,Pending,CUS00433,CEN003,EMP0106
BKG00113,Cầu lông,2024-01-03,10:28:38,2024-01-13 18:28:38,2024-01-13 21:28:38,Pending,CUS00670,CEN003,EMP0032
BKG00114,Bóng đá,2024-08-29,05:43:23,2024-08-31 12:43:23,2024-08-31 15:43:23,Confirmed,CUS00420,CEN001,EMP0059
BKG00115,Bóng đá,2024-05-16,20:04:38,2024-05-26 02:04:38,2024-05-26 05:04:38,Cancelled,CUS00659,CEN002,EMP0070
BKG00116,Tennis,2024-05-15,21:42:35,2024-05-26 04:42:35,2024-05-26 05:42:35,Cancelled,CUS00692,CEN001,EMP0092
BKG00117,Cầu lông,2024-09-29,10:24:33,2024-10-05 16:24:33,2024-10-05 18:24:33,Cancelled,CUS00409,CEN005,EMP0050
BKG00118,Cầu lông,2024-08-25,12:51:23,2024-08-30 21:51:23,2024-08-30 22:51:23,Pending,CUS00332,CEN004,EMP0027
BKG00119,Tennis,2024-08-27,12:27:29,2024-09-04 21:27:29,2024-09-05 00:27:29,Pending,CUS00352,CEN003,EMP0029
BKG00120,Tennis,2024-09-17,15:41:15,2024-09-24 01:41:15,2024-09-24 04:41:15,Pending,CUS00783,CEN004,EMP0095
BKG00121,Tennis,2024-12-10,07:39:32,2024-12-12 16:39:32,2024-12-12 19:39:32,Pending,CUS00456,CEN003,EMP0081
BKG00122,Bóng rổ,2024-02-25,10:14:27,2024-03-05 16:14:27,2024-03-05 18:14:27,Cancelled,CUS00312,CEN001,EMP0098
BKG00123,Bóng rổ,2024-08-10,22:56:48,2024-08-20 04:56:48,2024-08-20 06:56:48,Pending,CUS00576,CEN001,EMP0071
BKG00124,Bóng rổ,2024-04-29,05:23:13,2024-05-09 15:23:13,2024-05-09 17:23:13,Confirmed,CUS00573,CEN003,EMP0088
BKG00125,Tennis,2024-06-06,12:43:40,2024-06-10 13:43:40,2024-06-10 16:43:40,Pending,CUS00623,CEN005,EMP0109
BKG00126,Tennis,2024-02-13,16:59:28,2024-02-19 23:59:28,2024-02-20 00:59:28,Confirmed,CUS00470,CEN005,EMP0081
BKG00127,Tennis,2024-03-21,02:27:46,2024-03-27 11:27:46,2024-03-27 14:27:46,Cancelled,CUS00110,CEN004,EMP0038
BKG00128,Bóng đá,2024-04-13,00:02:23,2024-04-17 05:02:23,2024-04-17 06:02:23,Cancelled,CUS00171,CEN005,EMP0104
BKG00129,Bóng rổ,2024-12-06,03:24:16,2024-12-06 08:24:16,2024-12-06 09:24:16,Pending,CUS00033,CEN002,EMP0052
BKG00130,Cầu lông,2024-06-27,03:12:58,2024-06-27 09:12:58,2024-06-27 11:12:58,Confirmed,CUS00567,CEN005,EMP0116
BKG00131,Bóng đá,2024-01-08,00:30:03,2024-01-16 02:30:03,2024-01-16 04:30:03,Cancelled,CUS00259,CEN003,EMP0067
BKG00132,Bóng đá,2024-10-26,02:31:38,2024-10-29 02:31:38,2024-10-29 05:31:38,Cancelled,CUS00587,CEN005,EMP0025
BKG00133,Bóng đá,2024-05-08,02:42:16,2024-05-15 06:42:16,2024-05-15 09:42:16,Cancelled,CUS00565,CEN002,EMP0080
BKG00134,Bóng rổ,2024-04-11,17:11:31,2024-04-13 01:11:31,2024-04-13 03:11:31,Confirmed,CUS00243,CEN001,EMP0020
BKG00135,Bóng rổ,2024-11-02,03:30:52,2024-11-07 03:30:52,2024-11-07 04:30:52,Pending,CUS00218,CEN001,EMP0087
BKG00136,Tennis,2024-10-06,16:47:11,2024-10-13 02:47:11,2024-10-13 04:47:11,Pending,CUS00607,CEN005,EMP0046
BKG00137,Cầu lông,2024-01-07,17:07:48,2024-01-12 23:07:48,2024-01-13 01:07:48,Pending,CUS00572,CEN003,EMP0099
BKG00138,Cầu lông,2024-11-16,13:55:10,2024-11-23 21:55:10,2024-11-24 00:55:10,Confirmed,CUS00443,CEN004,EMP0073
BKG00139,Bóng đá,2024-07-14,05:04:16,2024-07-21 05:04:16,2024-07-21 08:04:16,Pending,CUS00544,CEN004,EMP0021
BKG00140,Bóng rổ,2024-12-07,01:17:41,2024-12-17 01:17:41,2024-12-17 02:17:41,Pending,CUS00647,CEN002,EMP0055
BKG00141,Tennis,2024-12-11,01:56:18,2024-12-12 01:56:18,2024-12-12 02:56:18,Confirmed,CUS00303,CEN003,EMP0033
BKG00142,Cầu lông,2024-08-21,13:56:53,2024-08-30 13:56:53,2024-08-30 15:56:53,Confirmed,CUS00281,CEN003,EMP0055
BKG00143,Bóng rổ,2024-11-13,20:58:29,2024-11-18 22:58:29,2024-11-19 00:58:29,Pending,CUS00387,CEN002,EMP0101
BKG00144,Cầu lông,2024-02-15,08:55:35,2024-02-20 13:55:35,2024-02-20 16:55:35,Cancelled,CUS00447,CEN004,EMP0018
BKG00145,Tennis,2024-12-28,02:57:37,2025-01-03 04:57:37,2025-01-03 05:57:37,Pending,CUS00128,CEN005,EMP0002
BKG00146,Tennis,2024-04-01,14:51:27,2024-04-05 00:51:27,2024-04-05 03:51:27,Cancelled,CUS00302,CEN004,EMP0102
BKG00147,Bóng đá,2024-04-10,10:30:40,2024-04-17 14:30:40,2024-04-17 16:30:40,Confirmed,CUS00311,CEN005,EMP0037
BKG00148,Tennis,2024-05-24,14:41:50,2024-06-02 17:41:50,2024-06-02 20:41:50,Confirmed,CUS00335,CEN002,EMP0013
BKG00149,Cầu lông,2024-07-26,12:45:35,2024-07-29 17:45:35,2024-07-29 18:45:35,Confirmed,CUS00084,CEN002,EMP0037
BKG00150,Tennis,2024-10-09,23:32:56,2024-10-15 02:32:56,2024-10-15 03:32:56,Pending,CUS00719,CEN005,EMP0008
BKG00151,Bóng đá,2024-10-14,18:49:43,2024-10-18 00:49:43,2024-10-18 01:49:43,Cancelled,CUS00190,CEN001,EMP0120
BKG00152,Bóng đá,2024-12-26,21:39:49,2025-01-03 00:39:49,2025-01-03 03:39:49,Pending,CUS00649,CEN004,EMP0064
BKG00153,Cầu lông,2024-06-14,06:52:02,2024-06-18 14:52:02,2024-06-18 17:52:02,Cancelled,CUS00750,CEN002,EMP0080
BKG00154,Tennis,2024-08-03,19:21:36,2024-08-09 05:21:36,2024-08-09 07:21:36,Cancelled,CUS00333,CEN002,EMP0024
BKG00155,Tennis,2024-03-07,03:24:54,2024-03-17 08:24:54,2024-03-17 09:24:54,Cancelled,CUS00321,CEN001,EMP0052
BKG00156,Bóng đá,2024-07-14,02:18:26,2024-07-19 09:18:26,2024-07-19 11:18:26,Cancelled,CUS00087,CEN004,EMP0009
BKG00157,Bóng đá,2024-05-10,11:38:14,2024-05-10 19:38:14,2024-05-10 22:38:14,Pending,CUS00372,CEN003,EMP0077
BKG00158,Bóng đá,2024-04-10,07:46:34,2024-04-17 14:46:34,2024-04-17 16:46:34,Confirmed,CUS00483,CEN002,EMP0098
BKG00159,Tennis,2024-09-05,00:26:59,2024-09-08 05:26:59,2024-09-08 06:26:59,Confirmed,CUS00449,CEN005,EMP0094
BKG00160,Tennis,2024-02-13,13:10:25,2024-02-20 14:10:25,2024-02-20 16:10:25,Cancelled,CUS00308,CEN005,EMP0059
BKG00161,Cầu lông,2024-04-10,22:58:45,2024-04-15 07:58:45,2024-04-15 08:58:45,Pending,CUS00342,CEN002,EMP0063
BKG00162,Bóng đá,2024-03-27,07:28:42,2024-03-30 08:28:42,2024-03-30 11:28:42,Pending,CUS00432,CEN001,EMP0112
BKG00163,Bóng đá,2024-09-24,08:10:28,2024-09-27 11:10:28,2024-09-27 14:10:28,Cancelled,CUS00616,CEN002,EMP0055
BKG00164,Bóng đá,2024-07-18,05:19:07,2024-07-25 13:19:07,2024-07-25 16:19:07,Pending,CUS00571,CEN001,EMP0046
BKG00165,Cầu lông,2024-07-05,09:10:10,2024-07-13 16:10:10,2024-07-13 17:10:10,Pending,CUS00293,CEN005,EMP0056
BKG00166,Cầu lông,2024-05-02,17:03:03,2024-05-12 18:03:03,2024-05-12 20:03:03,Pending,CUS00126,CEN004,EMP0089
BKG00167,Tennis,2024-06-07,16:22:09,2024-06-13 02:22:09,2024-06-13 03:22:09,Confirmed,CUS00747,CEN002,EMP0062
BKG00168,Bóng đá,2024-02-09,10:18:06,2024-02-17 19:18:06,2024-02-17 20:18:06,Confirmed,CUS00436,CEN004,EMP0025
BKG00169,Tennis,2024-04-18,10:29:05,2024-04-24 17:29:05,2024-04-24 18:29:05,Cancelled,CUS00491,CEN004,EMP0096
BKG00170,Bóng rổ,2024-12-28,12:59:37,2024-12-30 21:59:37,2024-12-30 23:59:37,Cancelled,CUS00067,CEN003,EMP0029
BKG00171,Cầu lông,2024-11-11,23:36:20,2024-11-18 01:36:20,2024-11-18 04:36:20,Cancelled,CUS00590,CEN003,EMP0114
BKG00172,Bóng rổ,2024-09-01,07:41:00,2024-09-07 11:41:00,2024-09-07 13:41:00,Pending,CUS00625,CEN005,EMP0074
BKG00173,Bóng đá,2024-09-24,18:32:50,2024-09-24 19:32:50,2024-09-24 20:32:50,Cancelled,CUS00610,CEN005,EMP0044
BKG00174,Bóng rổ,2024-03-29,11:56:57,2024-04-07 11:56:57,2024-04-07 14:56:57,Pending,CUS00701,CEN003,EMP0021
BKG00175,Bóng đá,2024-09-30,12:17:18,2024-10-01 20:17:18,2024-10-01 23:17:18,Confirmed,CUS00680,CEN005,EMP0038
BKG00176,Tennis,2024-03-07,02:23:24,2024-03-17 06:23:24,2024-03-17 08:23:24,Confirmed,CUS00754,CEN005,EMP0100
BKG00177,Tennis,2024-08-28,11:51:28,2024-09-07 20:51:28,2024-09-07 23:51:28,Confirmed,CUS00597,CEN003,EMP0057
BKG00178,Cầu lông,2024-08-05,21:16:18,2024-08-11 04:16:18,2024-08-11 06:16:18,Cancelled,CUS00728,CEN005,EMP0045
BKG00179,Cầu lông,2024-07-20,07:01:29,2024-07-21 16:01:29,2024-07-21 17:01:29,Pending,CUS00147,CEN001,EMP0057
BKG00180,Bóng rổ,2024-10-10,22:36:27,2024-10-19 07:36:27,2024-10-19 10:36:27,Cancelled,CUS00647,CEN001,EMP0105
BKG00181,Cầu lông,2024-04-26,05:06:59,2024-05-04 13:06:59,2024-05-04 14:06:59,Cancelled,CUS00624,CEN004,EMP0116
BKG00182,Bóng đá,2024-06-28,11:17:24,2024-06-28 16:17:24,2024-06-28 19:17:24,Cancelled,CUS00307,CEN003,EMP0119
BKG00183,Tennis,2024-11-10,21:59:51,2024-11-12 01:59:51,2024-11-12 02:59:51,Confirmed,CUS00509,CEN002,EMP0067
BKG00184,Bóng rổ,2024-07-22,06:09:45,2024-07-23 07:09:45,2024-07-23 08:09:45,Cancelled,CUS00223,CEN001,EMP0027
BKG00185,Tennis,2024-10-19,01:00:46,2024-10-25 09:00:46,2024-10-25 10:00:46,Pending,CUS00592,CEN002,EMP0079
BKG00186,Bóng rổ,2024-11-20,00:09:59,2024-11-28 01:09:59,2024-11-28 03:09:59,Confirmed,CUS00591,CEN001,EMP0114
BKG00187,Bóng đá,2024-10-13,13:37:09,2024-10-22 23:37:09,2024-10-23 02:37:09,Cancelled,CUS00646,CEN002,EMP0107
