SBID,BookingID,ServiceID,BookingQuantity
SBD00063,BKG00542,SRV0015,3
SBD00064,BKG00301,SRV0007,5
SBD00065,BKG00581,SRV0009,1
SBD00066,BKG00182,SRV0003,2
SBD00067,BKG01002,SRV0056,1
SBD00068,BKG00990,SRV0069,1
SBD00069,BKG00672,SRV0015,4
SBD00070,BKG00613,SRV0067,3
SBD00071,BKG00946,SRV0061,5
SBD00072,BKG00962,SRV0026,5
SBD00073,BKG00403,SRV0031,1
SBD00074,BKG00875,SRV0012,3
SBD00075,BKG00516,SRV0028,3
SBD00076,BKG00916,SRV0048,3
SBD00077,BKG00969,SRV0068,5
SBD00078,BKG00431,SRV0044,1
SBD00079,BKG00705,SRV0024,4
SBD00080,BKG00065,SRV0024,4
SBD00081,BKG00060,SRV0052,5
SBD00082,BKG00964,SRV0043,4
SBD00083,BKG00964,SRV0008,4
SBD00084,BKG00175,SRV0070,1
SBD00085,BKG00328,SRV0077,2
SBD00086,BKG00490,SRV0052,1
SBD00087,BKG00448,SRV0073,1
SBD00088,BKG00261,SRV0025,4
SBD00089,BKG00946,SRV0033,3
SBD00090,BKG01067,SRV0039,1
SBD00091,BKG00425,SRV0032,4
SBD00092,BKG00843,SRV0065,4
SBD00093,BKG00019,SRV0043,5
SBD00094,BKG00024,SRV0063,5
SBD00095,BKG00136,SRV0006,4
SBD00096,BKG00745,SRV0016,1
SBD00097,BKG00876,SRV0035,1
SBD00098,BKG01016,SRV0005,4
SBD00099,BKG01081,SRV0027,5
SBD00100,BKG00618,SRV0057,5
SBD00101,BKG00551,SRV0066,2
SBD00102,BKG00022,SRV0030,3
SBD00103,BKG01060,SRV0045,4
SBD00104,BKG00437,SRV0056,3
SBD00105,BKG00584,SRV0001,3
SBD00106,BKG00538,SRV0080,2
SBD00107,BKG00982,SRV0024,5
SBD00108,BKG00119,SRV0079,1
SBD00109,BKG00388,SRV0016,4
SBD00110,BKG01135,SRV0065,2
SBD00111,BKG00799,SRV0033,2
SBD00112,BKG00170,SRV0055,4
SBD00113,BKG01064,SRV0042,5
SBD00114,BKG01030,SRV0035,3
SBD00115,BKG00548,SRV0006,5
SBD00116,BKG01151,SRV0074,3
SBD00117,BKG00442,SRV0004,2
SBD00118,BKG00382,SRV0005,4
SBD00119,BKG00762,SRV0056,1
SBD00120,BKG00701,SRV0020,4
SBD00121,BKG00111,SRV0016,3
SBD00122,BKG00326,SRV0027,1
SBD00123,BKG00267,SRV0078,5
SBD00124,BKG00824,SRV0049,2
SBD00125,BKG00449,SRV0003,5
SBD00126,BKG00339,SRV0032,3
SBD00127,BKG00819,SRV0046,3
SBD00128,BKG00007,SRV0032,1
SBD00129,BKG00902,SRV0077,5
SBD00130,BKG00241,SRV0046,3
SBD00131,BKG00124,SRV0024,4
SBD00132,BKG00427,SRV0021,1
SBD00133,BKG00241,SRV0019,5
SBD00134,BKG00732,SRV0028,1
SBD00135,BKG01144,SRV0042,1
SBD00136,BKG00046,SRV0038,2
SBD00137,BKG00411,SRV0011,5
SBD00138,BKG00287,SRV0005,4
SBD00139,BKG01060,SRV0017,1
SBD00140,BKG00617,SRV0068,1
SBD00141,BKG00067,SRV0073,2
SBD00142,BKG00115,SRV0045,3
SBD00143,BKG01087,SRV0037,4
SBD00144,BKG00446,SRV0067,3
SBD00145,BKG00909,SRV0063,5
SBD00146,BKG00916,SRV0027,5
SBD00147,BKG01077,SRV0020,3
SBD00148,BKG00675,SRV0042,2
SBD00149,BKG01078,SRV0014,3
SBD00150,BKG00174,SRV0069,2
SBD00151,BKG00996,SRV0019,2
SBD00152,BKG01056,SRV0018,4
SBD00153,BKG00563,SRV0017,5
SBD00154,BKG00728,SRV0013,5
SBD00155,BKG00704,SRV0024,3
SBD00156,BKG00748,SRV0060,4
SBD00157,BKG01082,SRV0068,1
SBD00158,BKG00690,SRV0044,5
SBD00159,BKG00085,SRV0032,1
SBD00160,BKG01052,SRV0016,5
SBD00161,BKG00867,SRV0080,3
SBD00162,BKG00622,SRV0034,5
SBD00163,BKG00929,SRV0050,1
SBD00164,BKG00694,SRV0002,3
SBD00165,BKG01050,SRV0071,3
SBD00166,BKG01199,SRV0015,3
SBD00167,BKG00063,SRV0066,5
SBD00168,BKG00279,SRV0033,3
SBD00169,BKG00834,SRV0038,1
SBD00170,BKG00487,SRV0043,1
SBD00171,BKG00909,SRV0053,5
SBD00172,BKG00740,SRV0045,3
SBD00173,BKG00431,SRV0048,3
SBD00174,BKG01042,SRV0066,1
SBD00175,BKG00127,SRV0065,2
SBD00176,BKG00313,SRV0058,4
SBD00177,BKG00676,SRV0039,4
SBD00178,BKG00926,SRV0064,4
SBD00179,BKG00557,SRV0048,5
SBD00180,BKG00369,SRV0048,3
SBD00181,BKG00241,SRV0017,2
SBD00182,BKG01054,SRV0058,2
SBD00183,BKG00591,SRV0076,2
SBD00184,BKG00989,SRV0077,4
SBD00185,BKG00079,SRV0003,4
SBD00186,BKG00128,SRV0037,3
SBD00187,BKG00746,SRV0077,3
SBD00188,BKG01122,SRV0040,5
SBD00189,BKG00853,SRV0060,3
SBD00190,BKG00217,SRV0056,4
SBD00191,BKG00272,SRV0026,5
SBD00192,BKG00699,SRV0054,4
SBD00193,BKG00241,SRV0020,3
SBD00194,BKG00746,SRV0076,2
SBD00195,BKG00704,SRV0004,2
SBD00196,BKG00923,SRV0056,4
SBD00197,BKG00540,SRV0080,1
SBD00198,BKG00770,SRV0039,1
SBD00199,BKG00318,SRV0020,4
SBD00200,BKG00303,SRV0062,4
SBD00201,BKG00739,SRV0026,1
SBD00202,BKG00580,SRV0048,1
SBD00203,BKG00414,SRV0036,1
SBD00204,BKG01017,SRV0007,1
SBD00205,BKG00695,SRV0037,3
SBD00206,BKG00689,SRV0072,2
SBD00207,BKG00594,SRV0046,3
SBD00208,BKG00689,SRV0047,4
SBD00209,BKG00384,SRV0016,4
SBD00210,BKG01144,SRV0028,2
SBD00211,BKG00764,SRV0062,4
SBD00212,BKG00850,SRV0066,1
SBD00213,BKG01148,SRV0079,3
SBD00214,BKG00016,SRV0039,5
SBD00215,BKG00188,SRV0004,5
SBD00216,BKG00855,SRV0007,3
SBD00217,BKG00412,SRV0011,4
SBD00218,BKG00182,SRV0048,3
SBD00219,BKG00966,SRV0072,3
SBD00220,BKG00325,SRV0012,5
SBD00221,BKG00936,SRV0075,2
SBD00222,BKG00457,SRV0051,5
SBD00223,BKG00786,SRV0006,5
SBD00224,BKG00497,SRV0009,4
SBD00225,BKG00074,SRV0068,5
SBD00226,BKG01061,SRV0065,5
SBD00227,BKG00718,SRV0004,1
SBD00228,BKG00069,SRV0048,3
SBD00229,BKG01131,SRV0026,5
SBD00230,BKG00161,SRV0012,1
SBD00231,BKG00757,SRV0027,2
SBD00232,BKG00090,SRV0021,4
SBD00233,BKG00584,SRV0007,1
SBD00234,BKG00389,SRV0031,2
SBD00235,BKG01169,SRV0056,2
SBD00236,BKG01024,SRV0076,1
SBD00237,BKG00379,SRV0001,2
SBD00238,BKG01113,SRV0072,4
SBD00239,BKG01063,SRV0022,1
SBD00240,BKG01147,SRV0069,5
SBD00241,BKG00433,SRV0068,3
SBD00242,BKG00581,SRV0058,5
SBD00243,BKG00204,SRV0053,4
SBD00244,BKG00886,SRV0052,2
SBD00245,BKG00560,SRV0018,1
SBD00246,BKG01114,SRV0030,3
SBD00247,BKG01050,SRV0012,2
SBD00248,BKG00603,SRV0024,4
SBD00249,BKG00891,SRV0038,4
SBD00250,BKG00570,SRV0020,4
SBD00251,BKG00629,SRV0036,1
SBD00252,BKG00528,SRV0060,5
SBD00253,BKG00398,SRV0022,4
SBD00254,BKG00890,SRV0053,2
SBD00255,BKG00906,SRV0077,3
SBD00256,BKG01062,SRV0012,5
SBD00257,BKG00972,SRV0057,3
SBD00258,BKG00559,SRV0079,5
SBD00259,BKG00346,SRV0040,4
SBD00260,BKG01079,SRV0058,1
SBD00261,BKG00627,SRV0033,4
SBD00262,BKG00445,SRV0073,5
SBD00263,BKG00686,SRV0032,1
SBD00264,BKG00670,SRV0043,4
SBD00265,BKG00827,SRV0040,2
SBD00266,BKG00402,SRV0079,3
SBD00267,BKG00021,SRV0020,4
SBD00268,BKG01195,SRV0002,5
SBD00269,BKG01158,SRV0049,3
SBD00270,BKG00796,SRV0050,4
SBD00271,BKG01064,SRV0009,1
SBD00272,BKG01102,SRV0024,2
SBD00273,BKG01181,SRV0019,2
SBD00274,BKG00280,SRV0035,4
SBD00275,BKG01148,SRV0063,2
SBD00276,BKG00381,SRV0007,2
SBD00277,BKG00958,SRV0027,2
SBD00278,BKG00996,SRV0072,3
SBD00279,BKG00110,SRV0050,1
SBD00280,BKG00418,SRV0066,4
SBD00281,BKG01008,SRV0039,5
SBD00282,BKG00670,SRV0064,5
SBD00283,BKG00501,SRV0007,3
SBD00284,BKG00676,SRV0042,5
SBD00285,BKG00789,SRV0042,4
SBD00286,BKG00818,SRV0048,4
SBD00287,BKG01029,SRV0050,5
SBD00288,BKG00005,SRV0007,3
SBD00289,BKG00691,SRV0009,2
SBD00290,BKG00811,SRV0062,4
SBD00291,BKG00535,SRV0033,5
SBD00292,BKG00541,SRV0028,4
SBD00293,BKG00460,SRV0022,4
SBD00294,BKG00075,SRV0048,4
SBD00295,BKG00220,SRV0033,4
SBD00296,BKG00728,SRV0025,3
SBD00297,BKG00519,SRV0023,1
SBD00298,BKG00126,SRV0038,2
SBD00299,BKG00180,SRV0066,4
SBD00300,BKG00908,SRV0033,4
SBD00301,BKG00205,SRV0048,2
SBD00302,BKG00104,SRV0032,3
SBD00303,BKG00170,SRV0074,1
SBD00304,BKG01171,SRV0068,3
SBD00305,BKG00045,SRV0044,4
SBD00306,BKG00767,SRV0013,2
SBD00307,BKG00459,SRV0041,5
SBD00308,BKG00655,SRV0007,5
SBD00309,BKG00180,SRV0034,2
SBD00310,BKG00381,SRV0024,5
SBD00311,BKG01026,SRV0061,4
SBD00312,BKG00842,SRV0027,2
SBD00313,BKG01004,SRV0076,1
SBD00314,BKG00572,SRV0017,2
SBD00315,BKG00419,SRV0071,1
SBD00316,BKG00004,SRV0052,1
SBD00317,BKG01036,SRV0079,1
SBD00318,BKG01006,SRV0006,1
SBD00319,BKG00745,SRV0020,2
SBD00320,BKG00167,SRV0068,3
SBD00321,BKG00716,SRV0059,3
SBD00322,BKG01189,SRV0053,3
SBD00323,BKG00043,SRV0043,2
SBD00324,BKG00969,SRV0003,2
SBD00325,BKG00720,SRV0079,5
SBD00326,BKG00880,SRV0013,1
SBD00327,BKG00594,SRV0028,3
SBD00328,BKG01032,SRV0025,1
SBD00329,BKG00640,SRV0001,4
SBD00330,BKG00982,SRV0047,1
SBD00331,BKG00453,SRV0006,4
SBD00332,BKG00158,SRV0002,5
SBD00333,BKG00314,SRV0018,1
SBD00334,BKG00823,SRV0071,5
SBD00335,BKG00934,SRV0037,3
SBD00336,BKG00412,SRV0059,1
SBD00337,BKG00579,SRV0058,2
SBD00338,BKG00318,SRV0006,3
SBD00339,BKG00504,SRV0011,5
SBD00340,BKG00259,SRV0057,3
SBD00341,BKG00510,SRV0012,2
SBD00342,BKG00848,SRV0055,4
SBD00343,BKG00720,SRV0051,1
SBD00344,BKG00360,SRV0029,2
SBD00345,BKG00823,SRV0012,4
SBD00346,BKG00729,SRV0044,5
SBD00347,BKG00046,SRV0054,2
SBD00348,BKG00514,SRV0059,3
SBD00349,BKG00680,SRV0044,2
SBD00350,BKG00863,SRV0059,2
SBD00351,BKG00111,SRV0031,4
SBD00352,BKG00969,SRV0008,2
SBD00353,BKG00932,SRV0041,1
SBD00354,BKG00016,SRV0001,3
SBD00355,BKG00895,SRV0071,4
SBD00356,BKG00086,SRV0055,5
SBD00357,BKG00006,SRV0041,4
SBD00358,BKG00156,SRV0010,2
SBD00359,BKG00171,SRV0067,1
SBD00360,BKG00785,SRV0059,5
SBD00361,BKG00415,SRV0024,2
SBD00362,BKG00748,SRV0025,5
SBD00363,BKG00471,SRV0030,1
SBD00364,BKG00759,SRV0035,5
SBD00365,BKG00578,SRV0075,3
SBD00366,BKG00168,SRV0054,3
SBD00367,BKG00969,SRV0008,4
SBD00368,BKG01192,SRV0038,2
SBD00369,BKG00298,SRV0014,5
SBD00370,BKG00466,SRV0005,2
SBD00371,BKG00556,SRV0023,4
SBD00372,BKG00543,SRV0053,5
SBD00373,BKG00685,SRV0043,1
SBD00374,BKG01175,SRV0004,2
SBD00375,BKG00071,SRV0039,1
SBD00376,BKG00133,SRV0042,3
SBD00377,BKG01115,SRV0065,1
SBD00378,BKG00648,SRV0013,1
SBD00379,BKG00454,SRV0025,3
SBD00380,BKG00802,SRV0047,2
SBD00381,BKG00460,SRV0054,2
SBD00382,BKG00488,SRV0001,3
SBD00383,BKG00988,SRV0048,3
SBD00384,BKG00397,SRV0060,1
SBD00385,BKG00006,SRV0074,5
SBD00386,BKG00578,SRV0016,4
SBD00387,BKG00540,SRV0030,4
SBD00388,BKG00920,SRV0005,2
SBD00389,BKG00197,SRV0060,1
SBD00390,BKG00553,SRV0057,1
SBD00391,BKG00228,SRV0024,3
SBD00392,BKG00348,SRV0071,2
SBD00393,BKG00435,SRV0073,4
SBD00394,BKG00190,SRV0058,5
SBD00395,BKG00767,SRV0049,5
SBD00396,BKG00223,SRV0059,4
SBD00397,BKG00911,SRV0048,1
SBD00398,BKG00727,SRV0078,1
SBD00399,BKG01011,SRV0031,5
SBD00400,BKG00490,SRV0004,1
SBD00401,BKG00118,SRV0045,3
SBD00402,BKG00172,SRV0049,5
SBD00403,BKG01123,SRV0025,2
SBD00404,BKG00151,SRV0063,5
SBD00405,BKG00434,SRV0049,3
SBD00406,BKG01024,SRV0004,5
SBD00407,BKG00528,SRV0039,1
SBD00408,BKG00790,SRV0045,3
SBD00409,BKG00727,SRV0020,3
SBD00410,BKG01170,SRV0026,3
SBD00411,BKG00957,SRV0003,4
SBD00412,BKG00783,SRV0048,1
SBD00413,BKG01181,SRV0034,4
SBD00414,BKG00369,SRV0002,4
SBD00415,BKG01102,SRV0042,4
SBD00416,BKG00302,SRV0024,4
SBD00417,BKG00227,SRV0075,2
SBD00418,BKG00842,SRV0004,2
SBD00419,BKG00785,SRV0009,1
SBD00420,BKG01150,SRV0056,5
SBD00421,BKG00041,SRV0016,1
SBD00422,BKG00452,SRV0056,1
SBD00423,BKG00140,SRV0076,3
SBD00424,BKG01171,SRV0001,5
SBD00425,BKG00138,SRV0060,1
SBD00426,BKG00101,SRV0026,2
SBD00427,BKG01024,SRV0052,2
SBD00428,BKG01081,SRV0004,3
SBD00429,BKG01073,SRV0060,4
SBD00430,BKG01006,SRV0064,1
SBD00431,BKG00174,SRV0036,5
SBD00432,BKG00951,SRV0018,4
SBD00433,BKG01038,SRV0017,1
SBD00434,BKG00216,SRV0073,3
SBD00435,BKG00875,SRV0077,4
SBD00436,BKG00627,SRV0056,1
SBD00437,BKG01006,SRV0058,2
SBD00438,BKG00652,SRV0077,3
SBD00439,BKG00800,SRV0073,1
SBD00440,BKG00343,SRV0020,1
SBD00441,BKG00726,SRV0016,2
SBD00442,BKG00755,SRV0052,2
SBD00443,BKG01166,SRV0059,3
SBD00444,BKG01087,SRV0079,2
SBD00445,BKG00721,SRV0006,1
SBD00446,BKG01016,SRV0046,1
SBD00447,BKG00870,SRV0060,3
SBD00448,BKG01076,SRV0054,4
SBD00449,BKG00388,SRV0047,5
SBD00450,BKG00248,SRV0071,2
SBD00451,BKG00232,SRV0063,4
SBD00452,BKG00537,SRV0066,4
SBD00453,BKG00578,SRV0064,4
SBD00454,BKG00489,SRV0048,5
SBD00455,BKG00683,SRV0071,3
SBD00456,BKG00443,SRV0069,2
SBD00457,BKG00764,SRV0050,5
SBD00458,BKG01186,SRV0076,4
SBD00459,BKG00255,SRV0023,3
SBD00460,BKG00297,SRV0005,1
SBD00461,BKG00410,SRV0008,4
SBD00462,BKG00521,SRV0055,5
SBD00463,BKG00253,SRV0020,4
SBD00464,BKG01006,SRV0015,5
SBD00465,BKG00183,SRV0073,4
SBD00466,BKG01199,SRV0074,2
SBD00467,BKG00432,SRV0048,2
SBD00468,BKG00077,SRV0028,1
SBD00469,BKG00503,SRV0072,4
SBD00470,BKG01141,SRV0028,1
SBD00471,BKG00658,SRV0051,5
SBD00472,BKG00272,SRV0066,4
SBD00473,BKG00766,SRV0030,2
SBD00474,BKG00675,SRV0043,2
SBD00475,BKG00868,SRV0022,1
SBD00476,BKG00279,SRV0077,3
SBD00477,BKG01125,SRV0063,3
SBD00478,BKG00984,SRV0065,1
SBD00479,BKG00233,SRV0024,5
SBD00480,BKG00323,SRV0052,5
SBD00481,BKG00404,SRV0038,3
SBD00482,BKG00251,SRV0058,2
SBD00483,BKG01169,SRV0022,2
SBD00484,BKG00282,SRV0075,2
SBD00485,BKG00170,SRV0057,4
SBD00486,BKG01046,SRV0056,3
SBD00487,BKG00017,SRV0032,5
SBD00488,BKG00568,SRV0057,3
SBD00489,BKG00114,SRV0041,3
SBD00490,BKG00988,SRV0064,4
SBD00491,BKG01153,SRV0011,4
SBD00492,BKG00616,SRV0027,1
SBD00493,BKG00258,SRV0039,2
SBD00494,BKG00619,SRV0041,2
SBD00495,BKG00717,SRV0032,5
SBD00496,BKG00157,SRV0009,3
SBD00497,BKG01014,SRV0046,1
SBD00498,BKG00289,SRV0059,2
SBD00499,BKG00103,SRV0080,3
SBD00500,BKG01056,SRV0005,2
SBD00501,BKG00780,SRV0076,3
SBD00502,BKG00924,SRV0046,4
SBD00503,BKG00382,SRV0079,3
SBD00504,BKG00404,SRV0026,5
SBD00505,BKG00206,SRV0053,5
SBD00506,BKG00774,SRV0059,1
SBD00507,BKG01067,SRV0069,3
SBD00508,BKG00665,SRV0003,4
SBD00509,BKG01173,SRV0035,2
SBD00510,BKG01187,SRV0035,3
SBD00511,BKG00218,SRV0008,1
SBD00512,BKG00033,SRV0039,2
SBD00513,BKG00997,SRV0076,4
SBD00514,BKG00534,SRV0080,2
SBD00515,BKG00715,SRV0036,5
SBD00516,BKG00308,SRV0015,1
SBD00517,BKG00219,SRV0068,1
SBD00518,BKG01035,SRV0070,5
SBD00519,BKG00852,SRV0079,5
SBD00520,BKG00233,SRV0028,2
SBD00521,BKG00503,SRV0048,4
SBD00522,BKG00658,SRV0027,5
SBD00523,BKG00629,SRV0065,1
SBD00524,BKG00207,SRV0012,3
SBD00525,BKG01023,SRV0005,2
SBD00526,BKG00614,SRV0059,3
SBD00527,BKG00811,SRV0007,1
SBD00528,BKG00844,SRV0037,2
SBD00529,BKG00788,SRV0024,3
SBD00530,BKG00685,SRV0042,3
SBD00531,BKG00853,SRV0021,1
SBD00532,BKG00365,SRV0016,2
SBD00533,BKG00700,SRV0033,4
SBD00534,BKG00348,SRV0019,2
SBD00535,BKG01167,SRV0037,1
SBD00536,BKG01004,SRV0011,4
SBD00537,BKG00505,SRV0038,2
SBD00538,BKG00566,SRV0050,4
SBD00539,BKG00128,SRV0080,3
SBD00540,BKG00531,SRV0061,1
SBD00541,BKG00104,SRV0054,1
SBD00542,BKG00512,SRV0074,5
SBD00543,BKG00158,SRV0007,4
SBD00544,BKG01184,SRV0046,1
SBD00545,BKG00802,SRV0025,3
SBD00546,BKG00274,SRV0010,3
SBD00547,BKG00175,SRV0023,1
SBD00548,BKG00350,SRV0022,3
SBD00549,BKG00219,SRV0063,3
SBD00550,BKG00818,SRV0009,4
SBD00551,BKG01054,SRV0006,5
SBD00552,BKG00692,SRV0056,3
SBD00553,BKG00176,SRV0068,3
SBD00554,BKG00553,SRV0016,2
SBD00555,BKG00448,SRV0026,4
SBD00556,BKG00803,SRV0047,1
SBD00557,BKG00288,SRV0067,3
SBD00558,BKG00138,SRV0043,4
SBD00559,BKG00655,SRV0071,1
SBD00560,BKG00900,SRV0079,1
SBD00561,BKG00765,SRV0061,5
SBD00562,BKG00350,SRV0073,1
SBD00563,BKG00675,SRV0023,3
SBD00564,BKG00366,SRV0022,1
SBD00565,BKG01198,SRV0015,1
SBD00566,BKG00580,SRV0021,5
SBD00567,BKG01194,SRV0078,3
SBD00568,BKG01032,SRV0015,3
SBD00569,BKG00226,SRV0037,1
SBD00570,BKG00173,SRV0028,5
SBD00571,BKG00742,SRV0051,5
SBD00572,BKG01191,SRV0025,5
SBD00573,BKG00248,SRV0037,2
SBD00574,BKG00845,SRV0042,2
SBD00575,BKG00012,SRV0016,2
SBD00576,BKG00063,SRV0014,4
SBD00577,BKG00619,SRV0006,2
SBD00578,BKG00106,SRV0080,5
SBD00579,BKG00620,SRV0040,4
SBD00580,BKG01031,SRV0066,5
SBD00581,BKG00801,SRV0052,3
SBD00582,BKG00609,SRV0070,1
SBD00583,BKG01111,SRV0019,4
SBD00584,BKG00383,SRV0077,1
SBD00585,BKG00507,SRV0050,4
SBD00586,BKG00670,SRV0078,1
SBD00587,BKG00853,SRV0040,3
SBD00588,BKG01182,SRV0016,3
SBD00589,BKG00392,SRV0020,1
SBD00590,BKG01147,SRV0004,1
SBD00591,BKG00202,SRV0025,1
SBD00592,BKG01060,SRV0041,2
SBD00593,BKG00446,SRV0014,3
SBD00594,BKG00825,SRV0069,2
SBD00595,BKG00483,SRV0038,2
SBD00596,BKG01113,SRV0033,1
SBD00597,BKG00257,SRV0019,3
SBD00598,BKG00809,SRV0023,4
SBD00599,BKG00977,SRV0011,2
SBD00600,BKG00324,SRV0002,2
SBD00601,BKG00642,SRV0032,3
SBD00602,BKG00326,SRV0031,5
SBD00603,BKG00869,SRV0057,1
SBD00604,BKG00918,SRV0061,4
SBD00605,BKG00061,SRV0040,2
SBD00606,BKG00406,SRV0076,5
SBD00607,BKG01011,SRV0055,4
SBD00608,BKG00963,SRV0039,1
SBD00609,BKG01105,SRV0064,4
SBD00610,BKG00275,SRV0010,1
SBD00611,BKG00920,SRV0044,2
SBD00612,BKG00599,SRV0007,1
SBD00613,BKG00494,SRV0028,1
SBD00614,BKG00759,SRV0010,1
SBD00615,BKG01010,SRV0019,3
SBD00616,BKG00947,SRV0018,3
SBD00617,BKG00567,SRV0024,4
SBD00618,BKG00710,SRV0038,1
SBD00619,BKG00895,SRV0069,5
SBD00620,BKG00425,SRV0076,2
SBD00621,BKG00995,SRV0056,2
SBD00622,BKG01190,SRV0071,3
SBD00623,BKG00380,SRV0029,5
SBD00624,BKG00212,SRV0071,2
SBD00625,BKG01048,SRV0074,2
SBD00626,BKG00781,SRV0025,2
SBD00627,BKG00941,SRV0071,4
SBD00628,BKG01057,SRV0003,4
SBD00629,BKG00082,SRV0036,2
SBD00630,BKG00476,SRV0046,4
SBD00631,BKG00474,SRV0011,5
SBD00632,BKG00753,SRV0075,2
SBD00633,BKG00145,SRV0011,4
SBD00634,BKG01185,SRV0076,2
SBD00635,BKG00166,SRV0025,3
SBD00636,BKG00511,SRV0040,4
SBD00637,BKG00117,SRV0045,1
SBD00638,BKG00962,SRV0001,4
SBD00639,BKG00982,SRV0048,1
SBD00640,BKG01144,SRV0071,3
SBD00641,BKG01160,SRV0037,5
SBD00642,BKG00819,SRV0026,3
SBD00643,BKG00935,SRV0049,5
SBD00644,BKG00853,SRV0054,2
SBD00645,BKG00145,SRV0031,5
SBD00646,BKG00024,SRV0042,5
SBD00647,BKG00735,SRV0010,5
SBD00648,BKG00527,SRV0071,3
SBD00649,BKG00736,SRV0036,2
SBD00650,BKG00334,SRV0048,5
SBD00651,BKG00682,SRV0044,1
SBD00652,BKG00402,SRV0025,1
SBD00653,BKG00671,SRV0079,1
SBD00654,BKG00719,SRV0038,1
SBD00655,BKG01192,SRV0053,2
SBD00656,BKG00726,SRV0015,1
SBD00657,BKG00054,SRV0077,4
SBD00658,BKG01020,SRV0040,3
SBD00659,BKG00220,SRV0030,4
SBD00660,BKG00470,SRV0052,3
SBD00661,BKG00021,SRV0043,1
SBD00662,BKG00516,SRV0009,4
SBD00663,BKG00487,SRV0064,2
SBD00664,BKG00289,SRV0031,3
SBD00665,BKG00276,SRV0054,4
SBD00666,BKG01029,SRV0060,1
SBD00667,BKG00407,SRV0023,2
SBD00668,BKG01117,SRV0015,2
SBD00669,BKG01057,SRV0011,4
SBD00670,BKG00130,SRV0068,5
SBD00671,BKG01168,SRV0030,3
SBD00672,BKG00630,SRV0057,3
SBD00673,BKG00285,SRV0016,1
SBD00674,BKG00331,SRV0057,3
SBD00675,BKG01191,SRV0055,2
SBD00676,BKG01020,SRV0028,1
SBD00677,BKG00180,SRV0040,5
SBD00678,BKG00422,SRV0031,1
SBD00679,BKG00034,SRV0069,5
SBD00680,BKG00825,SRV0021,2
SBD00681,BKG00111,SRV0056,3
SBD00682,BKG01191,SRV0034,1
SBD00683,BKG00055,SRV0031,5
SBD00684,BKG00196,SRV0066,1
SBD00685,BKG00499,SRV0054,3
SBD00686,BKG01121,SRV0048,1
SBD00687,BKG00077,SRV0006,2
SBD00688,BKG00139,SRV0065,2
SBD00689,BKG00624,SRV0010,3
SBD00690,BKG00049,SRV0070,1
SBD00691,BKG00917,SRV0006,2
SBD00692,BKG01061,SRV0034,4
SBD00693,BKG00129,SRV0055,5
SBD00694,BKG00964,SRV0069,4
SBD00695,BKG00393,SRV0024,1
SBD00696,BKG00577,SRV0073,5
SBD00697,BKG01176,SRV0062,1
