CancelFormID,CancelTime,PenaltyPrice,Status,CancelRuleID,BookingID
CNF0048,2024-04-12 02:16:08,193110,Pending,CRL007,BKG00009
CNF0049,2024-09-23 06:31:28,494954,Pending,CRL011,BKG00103
CNF0050,2024-12-14 09:37:47,447876,Pending,CRL020,BKG01118
CNF0051,2024-12-26 05:57:11,498544,Approved,CRL016,BKG00673
CNF0052,2024-04-26 00:51:09,252810,Pending,CRL018,BKG01041
CNF0053,2024-10-27 21:38:49,124,Rejected,CRL010,BKG00369
CNF0054,2024-07-07 05:52:14,161195,Pending,CRL013,BKG00328
CNF0055,2024-07-17 06:24:09,86303,Rejected,CRL011,BKG00006
CNF0056,2024-06-21 14:13:20,85876,Approved,CRL011,BKG00459
CNF0057,2024-03-12 08:59:40,6893,Approved,CRL005,BKG01099
CNF0058,2024-05-20 02:13:57,38255,Approved,CRL012,BKG00115
CNF0059,2024-02-15 11:08:14,98844,Approved,CRL006,BKG00518
CNF0060,2024-06-30 19:08:54,42268,Pending,CRL015,BKG01133
CNF0061,2024-07-17 02:53:37,248503,Rejected,CRL012,BKG00028
CNF0062,2024-10-06 10:43:42,189500,Pending,CRL007,BKG00247
CNF0063,2024-12-06 16:28:29,278186,Rejected,CRL009,BKG00180
CNF0064,2024-07-18 04:24:22,12851,Approved,CRL003,BKG00593
CNF0065,2024-02-09 13:06:38,66676,Pending,CRL001,BKG01009
CNF0066,2024-04-10 07:26:56,331323,Pending,CRL009,BKG00766
CNF0067,2024-01-27 07:26:01,173654,Approved,CRL019,BKG00436
CNF0068,2024-03-24 23:46:38,420593,Pending,CRL016,BKG00834
CNF0069,2024-09-28 21:56:23,327662,Pending,CRL013,BKG01151
CNF0070,2024-08-10 01:02:56,468340,Rejected,CRL009,BKG00918
CNF0071,2024-03-28 19:38:58,267873,Approved,CRL020,BKG00416
CNF0072,2024-01-17 07:51:44,297455,Pending,CRL012,BKG00365
CNF0073,2024-11-26 09:45:39,106773,Rejected,CRL002,BKG00769
CNF0074,2024-01-20 21:32:08,192396,Approved,CRL007,BKG00843
CNF0075,2024-11-11 00:55:06,23785,Approved,CRL003,BKG00305
CNF0076,2024-04-27 03:45:48,434864,Pending,CRL007,BKG00978
CNF0077,2024-03-20 16:26:44,319681,Approved,CRL020,BKG00178
CNF0078,2024-02-23 04:02:00,338260,Approved,CRL018,BKG00143
CNF0079,2024-08-08 09:24:39,116301,Approved,CRL013,BKG01185
CNF0080,2024-04-21 12:34:04,455938,Pending,CRL014,BKG00610
CNF0081,2024-03-21 14:37:14,224144,Approved,CRL007,BKG00173
CNF0082,2024-09-12 11:01:19,160554,Rejected,CRL011,BKG00574
CNF0083,2024-05-24 19:03:06,499292,Approved,CRL018,BKG00241
CNF0084,2024-05-22 23:29:56,16634,Rejected,CRL019,BKG00655
CNF0085,2024-02-12 06:40:32,480324,Approved,CRL013,BKG00477
CNF0086,2024-11-02 17:13:25,342405,Pending,CRL018,BKG00917
CNF0087,2024-08-27 18:17:57,288668,Rejected,CRL016,BKG00842
CNF0088,2024-10-30 07:58:00,119676,Pending,CRL002,BKG00264
CNF0089,2024-03-18 01:55:33,4107,Approved,CRL005,BKG00431
CNF0090,2024-04-03 11:15:49,426212,Pending,CRL017,BKG01076
CNF0091,2024-09-02 04:39:15,397882,Pending,CRL004,BKG01168
CNF0092,2024-05-30 03:14:07,2132,Pending,CRL011,BKG00056
CNF0093,2024-08-25 03:02:23,380781,Rejected,CRL005,BKG01016
CNF0094,2024-01-07 06:34:21,135531,Pending,CRL001,BKG00636
CNF0095,2024-04-05 05:02:46,406209,Rejected,CRL014,BKG00778
CNF0096,2024-06-15 12:09:33,270059,Approved,CRL015,BKG00083
CNF0097,2024-11-11 06:20:36,261957,Rejected,CRL005,BKG00797
CNF0098,2024-01-17 15:09:07,387040,Pending,CRL015,BKG00645
CNF0099,2024-07-04 02:31:53,384665,Rejected,CRL020,BKG00858
CNF0100,2024-06-14 16:23:29,106187,Approved,CRL017,BKG00060
CNF0101,2024-05-18 14:45:58,107562,Approved,CRL007,BKG01086
CNF0102,2024-01-23 11:31:02,442045,Rejected,CRL017,BKG00302
CNF0103,2024-03-19 03:45:41,99566,Pending,CRL019,BKG00943
CNF0104,2024-01-12 11:21:24,48951,Rejected,CRL019,BKG01111
CNF0105,2024-03-06 21:57:31,154457,Approved,CRL016,BKG00104
CNF0106,2024-09-02 00:27:27,360407,Approved,CRL012,BKG00204
CNF0107,2024-07-22 08:39:38,363015,Approved,CRL005,BKG00214
CNF0108,2024-01-02 05:38:54,295406,Rejected,CRL014,BKG00386
CNF0109,2024-06-05 19:21:45,241379,Rejected,CRL006,BKG01036
CNF0110,2024-09-09 00:20:17,340876,Pending,CRL014,BKG01116
CNF0111,2024-08-10 21:53:00,203008,Pending,CRL001,BKG00775
CNF0112,2024-10-27 23:50:38,463583,Approved,CRL017,BKG01073
CNF0113,2024-01-25 13:57:27,458879,Pending,CRL016,BKG00097
CNF0114,2024-05-01 00:07:00,381111,Pending,CRL012,BKG00352
CNF0115,2024-07-30 09:13:41,352313,Approved,CRL013,BKG00661
CNF0116,2024-07-14 13:42:36,487010,Pending,CRL014,BKG01119
CNF0117,2024-10-28 11:06:08,39362,Rejected,CRL015,BKG00275
CNF0118,2024-03-01 21:19:18,330980,Approved,CRL004,BKG00935
CNF0119,2024-08-22 18:23:16,232189,Pending,CRL007,BKG00253
CNF0120,2024-01-17 00:49:43,292348,Pending,CRL017,BKG00435
CNF0121,2024-04-12 16:25:19,292953,Rejected,CRL001,BKG01119
CNF0122,2024-12-21 00:11:19,445762,Approved,CRL009,BKG00528
CNF0123,2024-12-18 18:14:11,278243,Approved,CRL018,BKG01175
CNF0124,2024-01-18 07:00:46,494992,Approved,CRL018,BKG00506
CNF0125,2024-03-15 17:16:29,133681,Approved,CRL011,BKG01105
CNF0126,2024-05-26 11:15:42,481263,Rejected,CRL015,BKG00278
CNF0127,2024-05-30 06:04:25,31394,Pending,CRL004,BKG00444
CNF0128,2024-01-28 06:43:26,351255,Rejected,CRL001,BKG00865
CNF0129,2024-09-30 02:36:15,221510,Rejected,CRL014,BKG00610
CNF0130,2024-01-22 19:00:22,167864,Rejected,CRL020,BKG01184
CNF0131,2024-07-04 01:37:39,333139,Rejected,CRL010,BKG00456
CNF0132,2024-09-05 16:27:01,12738,Rejected,CRL016,BKG01139
CNF0133,2024-01-04 08:17:25,441379,Rejected,CRL007,BKG00912
CNF0134,2024-07-22 12:23:17,90690,Rejected,CRL011,BKG00494
CNF0135,2024-06-19 10:03:13,56054,Pending,CRL014,BKG01078
CNF0136,2024-07-23 20:41:00,260304,Pending,CRL010,BKG00165
CNF0137,2024-05-09 13:41:31,412362,Approved,CRL016,BKG01107
CNF0138,2024-09-04 05:34:35,51606,Pending,CRL015,BKG00411
CNF0139,2024-10-04 10:44:25,40803,Approved,CRL006,BKG00245
CNF0140,2024-11-22 12:11:06,250620,Rejected,CRL011,BKG00795
CNF0141,2024-02-23 09:49:46,141610,Approved,CRL020,BKG00565
CNF0142,2024-10-07 15:11:11,132136,Pending,CRL007,BKG00228
CNF0143,2024-07-11 22:19:49,285536,Pending,CRL015,BKG00463
CNF0144,2024-10-07 13:21:57,423205,Pending,CRL012,BKG00979
CNF0145,2024-06-07 15:31:07,227908,Pending,CRL002,BKG01082
CNF0146,2024-04-29 23:13:47,432492,Pending,CRL015,BKG01067
CNF0147,2024-04-16 12:07:06,374856,Approved,CRL009,BKG00028
CNF0148,2024-10-23 16:44:58,60256,Approved,CRL015,BKG00920
CNF0149,2024-04-24 07:05:53,213008,Approved,CRL005,BKG00240
CNF0150,2024-08-20 23:27:40,322153,Rejected,CRL016,BKG01047
CNF0151,2024-09-14 04:11:20,165995,Approved,CRL011,BKG00257
CNF0152,2024-05-02 18:13:27,473410,Approved,CRL010,BKG00307
CNF0153,2024-04-12 03:54:48,175164,Rejected,CRL014,BKG00824
CNF0154,2024-06-25 11:28:29,91500,Rejected,CRL006,BKG01173
CNF0155,2024-08-23 18:35:44,28747,Approved,CRL006,BKG00278
CNF0156,2024-10-06 01:59:39,220213,Approved,CRL020,BKG00556
CNF0157,2024-01-17 23:02:48,227255,Rejected,CRL001,BKG00203
CNF0158,2024-05-02 02:44:05,405545,Approved,CRL004,BKG00467
CNF0159,2024-07-19 16:35:23,85794,Approved,CRL008,BKG01141
CNF0160,2024-06-07 02:57:21,351755,Rejected,CRL017,BKG00448
CNF0161,2024-04-01 21:14:10,323039,Pending,CRL007,BKG01099
CNF0162,2024-09-15 19:22:52,393543,Rejected,CRL017,BKG00800
CNF0163,2024-02-23 12:38:16,81335,Approved,CRL009,BKG00867
CNF0164,2024-09-09 02:49:41,262664,Rejected,CRL014,BKG00383
CNF0165,2024-08-06 15:30:27,216153,Approved,CRL003,BKG00124
CNF0166,2024-03-29 00:34:53,188954,Approved,CRL012,BKG01019
CNF0167,2024-04-14 08:19:38,336291,Rejected,CRL002,BKG01146
CNF0168,2024-12-20 22:18:41,163659,Pending,CRL016,BKG00163
CNF0169,2024-10-01 04:42:28,160120,Rejected,CRL006,BKG00841
CNF0170,2024-02-26 13:38:09,252203,Pending,CRL012,BKG00009
CNF0171,2024-09-08 11:23:24,209080,Pending,CRL002,BKG00159
CNF0172,2024-02-27 17:28:50,430924,Approved,CRL014,BKG00585
CNF0173,2024-11-28 04:27:38,204661,Rejected,CRL002,BKG01200
CNF0174,2024-11-06 10:43:52,227509,Pending,CRL010,BKG00075
CNF0175,2024-08-08 00:46:57,475568,Pending,CRL001,BKG00097
CNF0176,2024-08-19 23:09:46,55773,Approved,CRL013,BKG00729
CNF0177,2024-11-20 02:23:34,349179,Rejected,CRL011,BKG00633
CNF0178,2024-05-11 23:20:17,494281,Approved,CRL008,BKG00080
CNF0179,2024-01-22 05:38:34,50376,Approved,CRL017,BKG00551
CNF0180,2024-11-27 17:49:43,209787,Pending,CRL016,BKG00611
CNF0181,2024-11-30 20:14:42,398205,Rejected,CRL006,BKG00009
CNF0182,2024-12-19 22:14:46,339062,Approved,CRL006,BKG00268
CNF0183,2024-05-11 23:51:46,348763,Rejected,CRL018,BKG01169
CNF0184,2024-07-15 16:25:35,489651,Approved,CRL007,BKG00116
CNF0185,2024-07-12 19:42:54,405656,Pending,CRL006,BKG00224
CNF0186,2024-06-08 21:00:27,208056,Approved,CRL013,BKG01167
CNF0187,2024-12-10 07:59:09,55568,Pending,CRL015,BKG00122
CNF0188,2024-08-31 13:54:39,279033,Rejected,CRL013,BKG00135
CNF0189,2024-12-01 18:00:32,61837,Approved,CRL003,BKG00438
CNF0190,2024-09-16 19:01:30,478599,Approved,CRL001,BKG00301
CNF0191,2024-05-18 21:04:13,17576,Pending,CRL014,BKG00553
CNF0192,2024-03-09 09:46:41,77434,Approved,CRL014,BKG00527
CNF0193,2024-04-05 05:25:25,162587,Rejected,CRL010,BKG00848
CNF0194,2024-05-11 10:24:38,73478,Approved,CRL012,BKG00125
CNF0195,2024-11-25 02:01:54,167709,Pending,CRL010,BKG01023
CNF0196,2024-12-11 03:53:07,257081,Rejected,CRL009,BKG00163
CNF0197,2024-02-01 17:26:26,215613,Pending,CRL006,BKG01042
CNF0198,2024-05-25 06:00:44,367588,Rejected,CRL012,BKG00394
CNF0199,2024-10-05 11:22:42,439608,Rejected,CRL018,BKG01021
CNF0200,2024-05-13 08:21:49,188298,Rejected,CRL018,BKG01011
