LeaveFormID,EmployeeID,ScheduleID,DateCreate,Reason,Status
LFM0066,EMP0110,SCH0128,2024-02-10 05:50:11,Nghỉ thai sản,Approved
LFM0067,EMP0149,SCH0115,2024-10-07 09:28:25,Tai nạn giao thông nhẹ,Approved
LFM0068,EMP0087,SCH0146,2024-12-20 13:32:23,Bận việc cá nhân đột xuất,Approved
LFM0069,EMP0054,SCH0271,2024-02-07 17:16:37,Nghỉ bệnh - Sốt cao,Approved
LFM0070,EMP0118,SCH0504,2024-10-19 05:49:53,Nghỉ thai sản,Approved
LFM0071,EMP0088,SCH0303,2024-09-24 15:45:17,Hẹn gặp luật sư,Approved
LFM0072,EMP0067,SCH0582,2024-04-16 21:58:20,Chăm con ốm,Approved
LFM0073,EMP0038,SCH0535,2024-04-22 00:21:59,Chuyển nhà,Approved
LFM0074,EMP0145,SCH0372,2024-10-04 05:07:38,Đám cưới người thân,Approved
LFM0075,EMP0146,SCH0313,2024-07-03 13:58:32,Đi khám bệnh định kỳ,Pending
LFM0076,EMP0040,SCH0132,2024-02-26 21:43:21,Thi cử/Học tập,Pending
LFM0077,EMP0066,SCH0234,2024-01-11 21:01:21,Đi khám bệnh định kỳ,Rejected
LFM0078,EMP0038,SCH0599,2024-01-05 16:28:11,Thi cử/Học tập,Approved
LFM0079,EMP0123,SCH0175,2024-05-13 16:18:09,Làm giấy tờ cá nhân,Pending
LFM0080,EMP0134,SCH0384,2024-05-26 19:01:01,Bận việc cá nhân đột xuất,Rejected
LFM0081,EMP0044,SCH0538,2024-07-06 05:03:17,Thi cử/Học tập,Approved
LFM0082,EMP0004,SCH0067,2024-05-12 23:05:30,Đám tang,Approved
LFM0083,EMP0058,SCH0154,2024-04-18 02:05:20,Việc gia đình khẩn cấp,Pending
LFM0084,EMP0051,SCH0366,2024-07-12 17:03:43,Nghỉ bệnh - Cảm cúm,Approved
LFM0085,EMP0135,SCH0234,2024-10-14 22:08:33,Nghỉ bệnh - Đau dạ dày,Approved
LFM0086,EMP0103,SCH0102,2024-05-07 23:18:11,Nghỉ thai sản,Approved
LFM0087,EMP0142,SCH0548,2024-11-24 18:56:10,Nghỉ bệnh - Sốt cao,Pending
LFM0088,EMP0015,SCH0458,2024-08-08 02:02:49,Nghỉ phép năm,Approved
LFM0089,EMP0066,SCH0188,2024-09-24 20:27:39,Nghỉ phép năm,Rejected
LFM0090,EMP0059,SCH0468,2024-03-09 21:46:25,Nghỉ thai sản,Approved
LFM0091,EMP0142,SCH0285,2024-02-05 11:31:45,Nghỉ bệnh - Sốt cao,Pending
LFM0092,EMP0034,SCH0536,2024-04-27 13:56:08,Nghỉ phép năm,Approved
LFM0093,EMP0063,SCH0600,2024-10-22 19:22:36,Hẹn gặp luật sư,Approved
LFM0094,EMP0026,SCH0550,2024-12-08 09:29:13,Làm giấy tờ cá nhân,Pending
LFM0095,EMP0019,SCH0202,2024-07-04 18:04:12,Nghỉ bệnh - Sốt cao,Approved
LFM0096,EMP0122,SCH0203,2024-02-08 18:54:39,Đám tang,Approved
LFM0097,EMP0125,SCH0308,2024-08-09 02:32:00,Tai nạn giao thông nhẹ,Approved
LFM0098,EMP0029,SCH0454,2024-10-28 21:51:16,Hẹn gặp luật sư,Pending
LFM0099,EMP0001,SCH0258,2024-10-20 01:00:40,Nghỉ thai sản,Approved
LFM0100,EMP0127,SCH0181,2024-05-07 15:08:28,Đi khám bệnh định kỳ,Approved
LFM0101,EMP0077,SCH0271,2024-12-02 19:27:29,Làm giấy tờ cá nhân,Approved
LFM0102,EMP0071,SCH0575,2024-07-14 08:52:49,Hẹn gặp luật sư,Approved
LFM0103,EMP0029,SCH0187,2024-07-08 08:34:44,Bận việc cá nhân đột xuất,Approved
LFM0104,EMP0127,SCH0168,2024-03-10 10:29:30,Tai nạn giao thông nhẹ,Approved
LFM0105,EMP0078,SCH0097,2024-12-25 08:22:39,Làm giấy tờ cá nhân,Rejected
LFM0106,EMP0138,SCH0188,2024-03-16 04:26:27,Nghỉ phép năm,Pending
LFM0107,EMP0055,SCH0315,2024-07-13 20:55:31,Bận việc cá nhân đột xuất,Approved
LFM0108,EMP0027,SCH0308,2024-12-26 05:24:23,Chăm con ốm,Pending
LFM0109,EMP0083,SCH0161,2024-03-15 12:40:31,Đám cưới người thân,Pending
LFM0110,EMP0041,SCH0161,2024-05-06 11:34:09,Bận việc cá nhân đột xuất,Rejected
LFM0111,EMP0107,SCH0276,2024-03-29 19:51:30,Bận việc cá nhân đột xuất,Rejected
LFM0112,EMP0078,SCH0380,2024-02-26 07:22:20,Chuyển nhà,Approved
LFM0113,EMP0081,SCH0461,2024-04-29 14:55:31,Thi cử/Học tập,Approved
LFM0114,EMP0107,SCH0006,2024-10-23 00:25:51,Nghỉ bệnh - Đau dạ dày,Rejected
LFM0115,EMP0105,SCH0363,2024-09-07 19:13:27,Hẹn gặp luật sư,Pending
LFM0116,EMP0071,SCH0020,2024-11-13 21:16:52,Đám tang,Pending
LFM0117,EMP0066,SCH0302,2024-11-19 07:56:40,Làm giấy tờ cá nhân,Approved
LFM0118,EMP0110,SCH0392,2024-05-06 11:36:19,Đám tang,Approved
LFM0119,EMP0056,SCH0516,2024-06-19 22:03:31,Việc gia đình khẩn cấp,Rejected
LFM0120,EMP0020,SCH0249,2024-03-03 07:12:13,Bận việc cá nhân đột xuất,Approved
LFM0121,EMP0121,SCH0048,2024-10-30 09:34:19,Bận việc cá nhân đột xuất,Pending
LFM0122,EMP0064,SCH0287,2024-08-23 14:53:56,Nghỉ bệnh - Đau dạ dày,Approved
LFM0123,EMP0026,SCH0058,2024-09-05 09:46:16,Chuyển nhà,Approved
LFM0124,EMP0113,SCH0292,2024-02-13 02:52:55,Nghỉ bệnh - Sốt cao,Approved
LFM0125,EMP0084,SCH0424,2024-11-16 03:07:57,Chăm con ốm,Approved
LFM0126,EMP0077,SCH0588,2024-03-18 16:04:55,Hẹn gặp luật sư,Approved
LFM0127,EMP0063,SCH0336,2024-08-10 10:15:36,Nghỉ thai sản,Approved
LFM0128,EMP0143,SCH0544,2024-11-13 09:52:52,Nghỉ bệnh - Cảm cúm,Approved
LFM0129,EMP0036,SCH0070,2024-12-04 03:44:53,Làm giấy tờ cá nhân,Pending
LFM0130,EMP0093,SCH0457,2024-10-17 05:05:27,Đám cưới người thân,Rejected
LFM0131,EMP0083,SCH0480,2024-03-29 10:09:09,Làm giấy tờ cá nhân,Approved
LFM0132,EMP0051,SCH0266,2024-04-09 04:06:25,Nghỉ bệnh - Cảm cúm,Pending
LFM0133,EMP0036,SCH0123,2024-09-06 10:06:46,Thi cử/Học tập,Approved
LFM0134,EMP0125,SCH0050,2024-11-18 23:46:03,Chuyển nhà,Approved
LFM0135,EMP0005,SCH0580,2024-06-18 19:03:49,Làm giấy tờ cá nhân,Rejected
LFM0136,EMP0138,SCH0504,2024-04-19 18:27:20,Nghỉ bệnh - Sốt cao,Approved
LFM0137,EMP0020,SCH0579,2024-02-05 18:50:23,Việc gia đình khẩn cấp,Rejected
LFM0138,EMP0137,SCH0163,2024-11-06 03:24:26,Nghỉ bệnh - Sốt cao,Approved
LFM0139,EMP0147,SCH0480,2024-08-24 21:54:19,Đám tang,Pending
LFM0140,EMP0019,SCH0442,2024-11-13 14:02:10,Hẹn gặp luật sư,Approved
LFM0141,EMP0039,SCH0339,2024-01-29 08:38:58,Làm giấy tờ cá nhân,Approved
LFM0142,EMP0117,SCH0541,2024-10-30 08:30:00,Tai nạn giao thông nhẹ,Pending
LFM0143,EMP0006,SCH0412,2024-08-11 04:56:41,Thi cử/Học tập,Approved
LFM0144,EMP0005,SCH0009,2024-03-28 11:17:42,Chăm con ốm,Approved
LFM0145,EMP0067,SCH0229,2024-08-14 22:47:00,Làm giấy tờ cá nhân,Pending
LFM0146,EMP0137,SCH0469,2024-09-10 20:06:42,Chuyển nhà,Pending
LFM0147,EMP0148,SCH0157,2024-03-14 08:11:06,Đám tang,Pending
LFM0148,EMP0079,SCH0186,2024-02-09 04:25:24,Nghỉ bệnh - Đau dạ dày,Approved
LFM0149,EMP0033,SCH0554,2024-05-15 08:26:17,Làm giấy tờ cá nhân,Rejected
LFM0150,EMP0081,SCH0236,2024-09-12 14:33:41,Đi khám bệnh định kỳ,Approved
LFM0151,EMP0042,SCH0435,2024-04-15 06:37:46,Đám tang,Approved
LFM0152,EMP0091,SCH0028,2024-02-23 07:50:31,Hẹn gặp luật sư,Rejected
LFM0153,EMP0032,SCH0385,2024-01-10 20:58:04,Đám tang,Approved
LFM0154,EMP0098,SCH0051,2024-06-22 12:35:35,Đám tang,Approved
LFM0155,EMP0053,SCH0390,2024-08-17 05:13:22,Nghỉ bệnh - Sốt cao,Pending
LFM0156,EMP0045,SCH0519,2024-12-20 16:24:59,Việc gia đình khẩn cấp,Approved
LFM0157,EMP0042,SCH0215,2024-02-16 17:49:15,Chuyển nhà,Rejected
LFM0158,EMP0082,SCH0426,2024-03-15 04:04:23,Nghỉ bệnh - Sốt cao,Approved
LFM0159,EMP0130,SCH0369,2024-07-04 15:05:12,Việc gia đình khẩn cấp,Approved
LFM0160,EMP0117,SCH0017,2024-01-03 19:37:37,Tai nạn giao thông nhẹ,Approved
LFM0161,EMP0103,SCH0103,2024-05-17 17:52:02,Đi khám bệnh định kỳ,Approved
LFM0162,EMP0017,SCH0445,2024-11-25 06:08:41,Nghỉ phép năm,Pending
LFM0163,EMP0022,SCH0400,2024-12-06 04:22:10,Nghỉ thai sản,Approved
LFM0164,EMP0083,SCH0047,2024-02-24 15:45:10,Đám cưới người thân,Pending
LFM0165,EMP0145,SCH0010,2024-02-19 16:33:52,Chăm con ốm,Approved
LFM0166,EMP0121,SCH0040,2024-01-24 18:15:09,Đám tang,Approved
LFM0167,EMP0076,SCH0381,2024-08-27 20:01:48,Đám cưới người thân,Approved
LFM0168,EMP0108,SCH0177,2024-03-08 19:44:21,Chăm con ốm,Rejected
LFM0169,EMP0047,SCH0374,2024-12-07 09:35:43,Đám cưới người thân,Rejected
LFM0170,EMP0008,SCH0510,2024-03-20 06:08:04,Chuyển nhà,Approved
LFM0171,EMP0068,SCH0329,2024-01-12 01:26:09,Làm giấy tờ cá nhân,Pending
LFM0172,EMP0008,SCH0482,2024-01-14 06:58:45,Chăm con ốm,Pending
LFM0173,EMP0105,SCH0048,2024-07-28 12:16:14,Đám cưới người thân,Approved
LFM0174,EMP0041,SCH0103,2024-01-06 19:14:11,Nghỉ phép năm,Approved
LFM0175,EMP0024,SCH0430,2024-01-26 18:12:02,Bận việc cá nhân đột xuất,Approved
LFM0176,EMP0119,SCH0426,2024-11-28 11:48:25,Hẹn gặp luật sư,Rejected
LFM0177,EMP0035,SCH0001,2024-04-30 22:44:46,Nghỉ thai sản,Approved
LFM0178,EMP0033,SCH0331,2024-09-11 21:51:05,Việc gia đình khẩn cấp,Approved
LFM0179,EMP0123,SCH0505,2024-10-17 18:33:57,Đám tang,Pending
LFM0180,EMP0033,SCH0225,2024-07-18 21:40:08,Chăm con ốm,Approved
LFM0181,EMP0058,SCH0085,2024-10-15 14:59:18,Thi cử/Học tập,Approved
LFM0182,EMP0073,SCH0108,2024-04-07 00:06:25,Đám cưới người thân,Approved
LFM0183,EMP0078,SCH0337,2024-10-02 21:58:17,Nghỉ thai sản,Rejected
LFM0184,EMP0034,SCH0336,2024-06-12 21:31:13,Chăm con ốm,Approved
LFM0185,EMP0149,SCH0036,2024-10-17 11:16:05,Thi cử/Học tập,Rejected
LFM0186,EMP0013,SCH0203,2024-03-11 17:58:13,Nghỉ bệnh - Đau dạ dày,Approved
LFM0187,EMP0061,SCH0166,2024-06-03 02:06:17,Bận việc cá nhân đột xuất,Approved
LFM0188,EMP0124,SCH0353,2024-03-13 21:56:26,Thi cử/Học tập,Pending
LFM0189,EMP0116,SCH0220,2024-06-25 00:04:13,Hẹn gặp luật sư,Pending
LFM0190,EMP0031,SCH0287,2024-09-11 13:20:04,Làm giấy tờ cá nhân,Pending
LFM0191,EMP0087,SCH0191,2024-04-09 03:25:23,Bận việc cá nhân đột xuất,Approved
LFM0192,EMP0141,SCH0468,2024-09-14 13:55:12,Làm giấy tờ cá nhân,Approved
LFM0193,EMP0133,SCH0270,2024-01-25 12:18:00,Tai nạn giao thông nhẹ,Pending
LFM0194,EMP0007,SCH0557,2024-02-19 00:31:54,Hẹn gặp luật sư,Approved
LFM0195,EMP0029,SCH0124,2024-08-01 18:42:12,Chăm con ốm,Pending
LFM0196,EMP0089,SCH0315,2024-06-24 18:12:35,Nghỉ bệnh - Sốt cao,Approved
LFM0197,EMP0130,SCH0187,2024-06-03 09:30:36,Đám tang,Pending
LFM0198,EMP0037,SCH0228,2024-10-28 08:01:05,Chuyển nhà,Approved
LFM0199,EMP0135,SCH0156,2024-08-06 14:26:59,Nghỉ bệnh - Đau dạ dày,Rejected
LFM0200,EMP0137,SCH0372,2024-07-28 12:06:20,Đám cưới người thân,Approved
LFM0201,EMP0096,SCH0163,2024-02-08 21:21:16,Nghỉ phép năm,Pending
LFM0202,EMP0039,SCH0554,2024-08-24 18:29:41,Đám tang,Approved
LFM0203,EMP0072,SCH0051,2024-06-04 16:24:20,Tai nạn giao thông nhẹ,Approved
LFM0204,EMP0122,SCH0480,2024-05-05 00:31:25,Đi khám bệnh định kỳ,Approved
LFM0205,EMP0001,SCH0077,2024-04-07 14:33:29,Đi khám bệnh định kỳ,Pending
LFM0206,EMP0054,SCH0069,2024-01-23 23:59:28,Chăm con ốm,Pending
LFM0207,EMP0037,SCH0493,2024-11-15 09:42:29,Nghỉ phép năm,Approved
LFM0208,EMP0101,SCH0164,2024-09-07 21:56:42,Đám tang,Approved
LFM0209,EMP0064,SCH0359,2024-01-28 09:24:09,Nghỉ thai sản,Approved
LFM0210,EMP0036,SCH0412,2024-02-17 22:50:13,Chăm con ốm,Pending
LFM0211,EMP0053,SCH0455,2024-02-25 07:20:34,Làm giấy tờ cá nhân,Pending
LFM0212,EMP0003,SCH0121,2024-07-21 04:31:57,Việc gia đình khẩn cấp,Approved
LFM0213,EMP0121,SCH0238,2024-09-13 11:34:26,Việc gia đình khẩn cấp,Approved
LFM0214,EMP0139,SCH0466,2024-02-29 16:22:11,Làm giấy tờ cá nhân,Approved
LFM0215,EMP0070,SCH0042,2024-05-28 03:51:13,Nghỉ thai sản,Pending
LFM0216,EMP0029,SCH0478,2024-06-14 09:46:27,Bận việc cá nhân đột xuất,Approved
LFM0217,EMP0075,SCH0231,2024-07-22 01:12:56,Chuyển nhà,Approved
LFM0218,EMP0062,SCH0507,2024-11-20 22:41:39,Tai nạn giao thông nhẹ,Pending
LFM0219,EMP0108,SCH0059,2024-09-04 19:08:57,Nghỉ thai sản,Approved
LFM0220,EMP0071,SCH0258,2024-09-05 15:42:22,Tai nạn giao thông nhẹ,Approved
LFM0221,EMP0065,SCH0366,2024-02-02 06:29:10,Bận việc cá nhân đột xuất,Approved
LFM0222,EMP0063,SCH0600,2024-07-11 05:30:41,Tai nạn giao thông nhẹ,Approved
LFM0223,EMP0069,SCH0107,2024-10-30 06:43:11,Bận việc cá nhân đột xuất,Pending
LFM0224,EMP0144,SCH0580,2024-05-25 22:55:05,Thi cử/Học tập,Pending
LFM0225,EMP0011,SCH0111,2024-08-17 06:23:45,Việc gia đình khẩn cấp,Pending
LFM0226,EMP0148,SCH0098,2024-02-15 14:55:51,Nghỉ phép năm,Rejected
LFM0227,EMP0093,SCH0595,2024-09-18 05:10:26,Tai nạn giao thông nhẹ,Pending
LFM0228,EMP0101,SCH0041,2024-05-14 21:06:43,Hẹn gặp luật sư,Pending
LFM0229,EMP0118,SCH0588,2024-12-01 07:34:34,Thi cử/Học tập,Approved
LFM0230,EMP0111,SCH0027,2024-03-24 21:38:03,Nghỉ bệnh - Cảm cúm,Approved
LFM0231,EMP0085,SCH0102,2024-04-23 12:13:03,Nghỉ bệnh - Cảm cúm,Rejected
LFM0232,EMP0117,SCH0260,2024-05-19 06:17:27,Chuyển nhà,Pending
LFM0233,EMP0091,SCH0255,2024-04-17 10:24:05,Nghỉ bệnh - Đau dạ dày,Approved
LFM0234,EMP0084,SCH0470,2024-09-28 12:07:31,Nghỉ thai sản,Rejected
LFM0235,EMP0042,SCH0215,2024-08-04 21:23:24,Làm giấy tờ cá nhân,Pending
LFM0236,EMP0103,SCH0357,2024-10-30 07:09:05,Bận việc cá nhân đột xuất,Pending
LFM0237,EMP0023,SCH0342,2024-05-16 15:03:26,Nghỉ phép năm,Pending
LFM0238,EMP0082,SCH0314,2024-02-09 08:10:02,Nghỉ bệnh - Sốt cao,Rejected
LFM0239,EMP0104,SCH0321,2024-08-29 11:35:36,Đám cưới người thân,Approved
LFM0240,EMP0098,SCH0208,2024-04-12 19:00:00,Bận việc cá nhân đột xuất,Rejected
LFM0241,EMP0090,SCH0346,2024-11-08 23:30:32,Chuyển nhà,Approved
LFM0242,EMP0041,SCH0173,2024-05-05 08:20:21,Đám tang,Approved
LFM0243,EMP0149,SCH0318,2024-12-18 22:54:45,Đi khám bệnh định kỳ,Approved
LFM0244,EMP0144,SCH0552,2024-03-10 02:13:25,Nghỉ bệnh - Sốt cao,Approved
LFM0245,EMP0051,SCH0096,2024-02-05 03:54:52,Thi cử/Học tập,Pending
LFM0246,EMP0068,SCH0150,2024-10-05 00:33:38,Chuyển nhà,Approved
LFM0247,EMP0102,SCH0137,2024-12-23 18:44:59,Đi khám bệnh định kỳ,Approved
LFM0248,EMP0146,SCH0085,2024-05-05 18:22:22,Hẹn gặp luật sư,Rejected
LFM0249,EMP0011,SCH0252,2024-07-31 19:36:39,Nghỉ thai sản,Approved
LFM0250,EMP0007,SCH0507,2024-03-28 04:11:56,Nghỉ phép năm,Pending
