AttendanceID,EmployeeID,ScheduleID,CheckIn,CheckOut,Status
ATT00032,EMP0074,SCH0497,2024-08-06 05:52:00,2024-08-06 14:32:00,Đúng giờ
ATT00033,EMP0065,SCH0136,2024-04-13 14:28:00,2024-04-13 22:01:00,Đúng giờ
ATT00034,EMP0004,SCH0115,2024-10-26 05:54:00,2024-10-26 14:27:00,Đúng giờ
ATT00035,EMP0115,SCH0379,2024-10-12 08:51:00,2024-10-12 17:59:00,Trễ
ATT00036,EMP0061,SCH0497,2024-08-06 05:51:00,2024-08-06 14:36:00,Đúng giờ
ATT00037,EMP0022,SCH0149,2024-06-27 11:54:00,2024-06-27 18:46:00,Đúng giờ
ATT00038,EMP0106,SCH0393,2024-11-24 18:04:00,2024-11-24 23:25:00,Đúng giờ
ATT00039,EMP0043,SCH0216,2024-09-06 06:01:00,2024-09-06 13:48:00,Đúng giờ
ATT00040,EMP0068,SCH0119,2024-08-19 12:04:00,2024-08-19 18:40:00,Đúng giờ
ATT00041,EMP0122,SCH0309,2024-03-09 08:27:00,2024-03-09 17:39:00,Đúng giờ
ATT00042,EMP0100,SCH0486,2024-04-06 06:03:00,2024-04-06 11:45:00,Đúng giờ
ATT00043,EMP0074,SCH0460,2024-03-28 06:30:00,2024-03-28 12:18:00,Đúng giờ
ATT00044,EMP0011,SCH0100,2024-07-30 06:45:00,2024-07-30 12:07:00,Trễ
ATT00045,EMP0111,SCH0280,2024-06-10 06:28:00,2024-06-10 13:51:00,Đúng giờ
ATT00046,EMP0066,SCH0599,2024-12-05 07:57:00,2024-12-05 17:58:00,Đúng giờ
ATT00047,EMP0050,SCH0533,2024-12-21 18:25:00,2024-12-21 23:35:00,Đúng giờ
ATT00048,EMP0141,SCH0011,2024-05-09 12:22:00,2024-05-09 18:15:00,Đúng giờ
ATT00049,EMP0106,SCH0101,2024-11-05 14:34:00,2024-11-05 22:07:00,Đúng giờ
ATT00050,EMP0057,SCH0291,2024-11-13 18:21:00,2024-11-13 23:16:00,Đúng giờ
ATT00051,EMP0024,SCH0059,2024-06-03 06:00:00,2024-06-03 06:00:00,Vắng
ATT00052,EMP0056,SCH0125,2024-10-25 14:23:00,2024-10-25 22:20:00,Đúng giờ
ATT00053,EMP0034,SCH0385,2024-11-02 13:55:00,2024-11-02 21:52:00,Đúng giờ
ATT00054,EMP0048,SCH0260,2024-02-10 13:52:00,2024-02-10 22:55:00,Đúng giờ
ATT00055,EMP0117,SCH0284,2024-06-30 13:19:00,2024-06-30 18:27:00,Trễ
ATT00056,EMP0083,SCH0264,2024-01-18 13:52:00,2024-01-18 22:02:00,Đúng giờ
ATT00057,EMP0016,SCH0392,2024-11-09 18:21:00,2024-11-09 23:31:00,Đúng giờ
ATT00058,EMP0068,SCH0183,2024-12-09 06:35:00,2024-12-09 11:57:00,Đúng giờ
ATT00059,EMP0101,SCH0183,2024-12-09 06:23:00,2024-12-09 11:54:00,Đúng giờ
ATT00060,EMP0139,SCH0442,2024-10-13 12:23:00,2024-10-13 18:43:00,Đúng giờ
ATT00061,EMP0067,SCH0106,2024-01-02 18:22:00,2024-01-02 23:51:00,Đúng giờ
ATT00062,EMP0065,SCH0457,2024-10-06 14:35:00,2024-10-06 22:24:00,Đúng giờ
ATT00063,EMP0001,SCH0039,2024-09-07 05:58:00,2024-09-07 12:24:00,Đúng giờ
ATT00064,EMP0085,SCH0401,2024-08-27 08:05:00,2024-08-27 17:45:00,Đúng giờ
ATT00065,EMP0112,SCH0414,2024-07-30 09:24:00,2024-07-30 17:19:00,Trễ
ATT00066,EMP0139,SCH0232,2024-11-01 14:05:00,2024-11-01 21:52:00,Đúng giờ
ATT00067,EMP0146,SCH0549,2024-08-30 06:00:00,2024-08-30 06:00:00,Vắng
ATT00068,EMP0092,SCH0342,2024-05-26 06:02:00,2024-05-26 14:18:00,Đúng giờ
ATT00069,EMP0024,SCH0375,2024-07-09 06:00:00,2024-07-09 11:50:00,Đúng giờ
ATT00070,EMP0118,SCH0297,2024-12-18 05:55:00,2024-12-18 12:20:00,Đúng giờ
ATT00071,EMP0011,SCH0394,2024-09-24 07:59:00,2024-09-24 17:29:00,Đúng giờ
ATT00072,EMP0100,SCH0110,2024-04-06 06:31:00,2024-04-06 12:16:00,Đúng giờ
ATT00073,EMP0022,SCH0449,2024-03-27 18:24:00,2024-03-27 22:47:00,Đúng giờ
ATT00074,EMP0050,SCH0026,2024-12-01 05:57:00,2024-12-01 12:46:00,Đúng giờ
ATT00075,EMP0100,SCH0065,2024-03-23 07:16:00,2024-03-23 12:04:00,Trễ
ATT00076,EMP0128,SCH0547,2024-07-21 08:00:00,2024-07-21 08:00:00,Vắng
ATT00077,EMP0116,SCH0017,2024-03-17 13:51:00,2024-03-17 22:06:00,Đúng giờ
ATT00078,EMP0011,SCH0416,2024-10-08 08:34:00,2024-10-08 17:58:00,Đúng giờ
ATT00079,EMP0138,SCH0153,2024-05-03 07:57:00,2024-05-03 16:49:00,Đúng giờ
ATT00080,EMP0010,SCH0145,2024-09-08 14:20:00,2024-09-08 22:15:00,Đúng giờ
ATT00081,EMP0012,SCH0249,2024-12-14 05:54:00,2024-12-14 14:15:00,Đúng giờ
ATT00082,EMP0045,SCH0052,2024-04-18 08:57:00,2024-04-18 16:51:00,Trễ
ATT00083,EMP0117,SCH0175,2024-12-12 08:39:00,2024-12-12 16:51:00,Trễ
ATT00084,EMP0030,SCH0510,2024-12-20 07:57:00,2024-12-20 16:49:00,Đúng giờ
ATT00085,EMP0052,SCH0437,2024-08-09 18:32:00,2024-08-09 23:05:00,Đúng giờ
ATT00086,EMP0031,SCH0590,2024-09-02 06:00:00,2024-09-02 14:28:00,Đúng giờ
ATT00087,EMP0012,SCH0178,2024-06-05 12:23:00,2024-06-05 18:02:00,Đúng giờ
ATT00088,EMP0037,SCH0426,2024-06-15 06:01:00,2024-06-15 14:50:00,Đúng giờ
ATT00089,EMP0043,SCH0450,2024-08-13 05:51:00,2024-08-13 11:53:00,Đúng giờ
ATT00090,EMP0026,SCH0386,2024-09-28 12:36:00,2024-09-28 18:46:00,Trễ
ATT00091,EMP0021,SCH0007,2024-09-19 05:52:00,2024-09-19 13:00:00,Đúng giờ
ATT00092,EMP0073,SCH0427,2024-12-19 08:05:00,2024-12-19 17:59:00,Đúng giờ
ATT00093,EMP0033,SCH0212,2024-10-23 13:58:00,2024-10-23 22:48:00,Đúng giờ
ATT00094,EMP0116,SCH0422,2024-01-20 06:25:00,2024-01-20 14:24:00,Đúng giờ
ATT00095,EMP0010,SCH0185,2024-07-01 11:52:00,2024-07-01 18:25:00,Đúng giờ
ATT00096,EMP0078,SCH0357,2024-01-05 11:57:00,2024-01-05 17:57:00,Đúng giờ
ATT00097,EMP0031,SCH0543,2024-06-19 18:00:00,2024-06-19 18:00:00,Vắng
ATT00098,EMP0093,SCH0553,2024-04-16 14:34:00,2024-04-16 22:55:00,Đúng giờ
ATT00099,EMP0054,SCH0284,2024-06-30 12:23:00,2024-06-30 17:54:00,Đúng giờ
ATT00100,EMP0122,SCH0510,2024-12-20 07:51:00,2024-12-20 16:48:00,Đúng giờ
ATT00101,EMP0094,SCH0292,2024-09-08 12:28:00,2024-09-08 18:36:00,Đúng giờ
ATT00102,EMP0117,SCH0045,2024-12-21 18:21:00,2024-12-21 23:19:00,Đúng giờ
ATT00103,EMP0046,SCH0162,2024-12-17 12:36:00,2024-12-17 18:47:00,Trễ
ATT00104,EMP0030,SCH0073,2024-07-03 09:21:00,2024-07-03 17:43:00,Trễ
ATT00105,EMP0149,SCH0334,2024-01-15 06:30:00,2024-01-15 12:29:00,Đúng giờ
ATT00106,EMP0029,SCH0334,2024-01-15 06:27:00,2024-01-15 12:41:00,Đúng giờ
ATT00107,EMP0052,SCH0385,2024-11-02 14:09:00,2024-11-02 22:15:00,Trễ
ATT00108,EMP0150,SCH0497,2024-08-06 06:03:00,2024-08-06 14:24:00,Đúng giờ
ATT00109,EMP0056,SCH0466,2024-09-05 14:01:00,2024-09-05 21:53:00,Đúng giờ
ATT00110,EMP0118,SCH0199,2024-10-29 11:58:00,2024-10-29 18:27:00,Đúng giờ
ATT00111,EMP0086,SCH0131,2024-07-02 05:51:00,2024-07-02 14:02:00,Đúng giờ
ATT00112,EMP0035,SCH0114,2024-01-03 14:34:00,2024-01-03 22:41:00,Trễ
ATT00113,EMP0044,SCH0352,2024-05-28 06:29:00,2024-05-28 12:53:00,Đúng giờ
ATT00114,EMP0041,SCH0175,2024-12-12 08:27:00,2024-12-12 16:50:00,Đúng giờ
ATT00115,EMP0106,SCH0535,2024-02-25 13:56:00,2024-02-25 22:52:00,Đúng giờ
ATT00116,EMP0122,SCH0474,2024-03-18 18:33:00,2024-03-18 23:00:00,Đúng giờ
ATT00117,EMP0064,SCH0336,2024-03-10 07:57:00,2024-03-10 17:52:00,Đúng giờ
ATT00118,EMP0039,SCH0588,2024-06-15 07:01:00,2024-06-15 13:47:00,Trễ
ATT00119,EMP0011,SCH0482,2024-02-04 13:51:00,2024-02-04 22:12:00,Đúng giờ
ATT00120,EMP0136,SCH0404,2024-02-06 17:53:00,2024-02-06 23:13:00,Đúng giờ
ATT00121,EMP0127,SCH0247,2024-08-06 08:20:00,2024-08-06 17:59:00,Đúng giờ
ATT00122,EMP0105,SCH0224,2024-05-04 05:59:00,2024-05-04 12:00:00,Đúng giờ
ATT00123,EMP0024,SCH0017,2024-03-17 13:59:00,2024-03-17 21:55:00,Đúng giờ
ATT00124,EMP0118,SCH0585,2024-06-07 08:20:00,2024-06-07 17:44:00,Đúng giờ
ATT00125,EMP0119,SCH0142,2024-03-23 15:00:00,2024-03-23 21:56:00,Trễ
ATT00126,EMP0095,SCH0476,2024-08-01 11:50:00,2024-08-01 18:55:00,Đúng giờ
ATT00127,EMP0019,SCH0395,2024-03-07 12:26:00,2024-03-07 18:18:00,Trễ
ATT00128,EMP0009,SCH0304,2024-07-24 18:28:00,2024-07-24 23:29:00,Đúng giờ
ATT00129,EMP0139,SCH0590,2024-09-02 06:55:00,2024-09-02 14:58:00,Trễ
ATT00130,EMP0021,SCH0344,2024-05-29 13:51:00,2024-05-29 22:17:00,Đúng giờ
ATT00131,EMP0094,SCH0053,2024-03-04 18:01:00,2024-03-04 23:44:00,Đúng giờ
ATT00132,EMP0011,SCH0375,2024-07-09 05:52:00,2024-07-09 12:20:00,Đúng giờ
ATT00133,EMP0053,SCH0142,2024-03-23 14:30:00,2024-03-23 14:30:00,Vắng
ATT00134,EMP0062,SCH0553,2024-04-16 14:35:00,2024-04-16 22:52:00,Đúng giờ
ATT00135,EMP0054,SCH0231,2024-03-26 08:28:00,2024-03-26 17:47:00,Đúng giờ
ATT00136,EMP0109,SCH0284,2024-06-30 12:31:00,2024-06-30 18:07:00,Đúng giờ
ATT00137,EMP0116,SCH0498,2024-06-09 05:53:00,2024-06-09 14:15:00,Đúng giờ
ATT00138,EMP0137,SCH0546,2024-01-04 07:03:00,2024-01-04 12:54:00,Trễ
ATT00139,EMP0095,SCH0068,2024-10-20 08:34:00,2024-10-20 16:50:00,Đúng giờ
ATT00140,EMP0021,SCH0401,2024-08-27 08:23:00,2024-08-27 17:19:00,Trễ
ATT00141,EMP0028,SCH0169,2024-12-24 06:24:00,2024-12-24 12:16:00,Đúng giờ
ATT00142,EMP0039,SCH0210,2024-08-20 05:50:00,2024-08-20 12:33:00,Đúng giờ
ATT00143,EMP0107,SCH0555,2024-06-22 06:00:00,2024-06-22 06:00:00,Vắng
ATT00144,EMP0122,SCH0356,2024-05-24 17:50:00,2024-05-24 23:33:00,Đúng giờ
ATT00145,EMP0049,SCH0065,2024-03-23 06:27:00,2024-03-23 12:18:00,Đúng giờ
ATT00146,EMP0086,SCH0422,2024-01-20 06:30:00,2024-01-20 14:16:00,Đúng giờ
ATT00147,EMP0136,SCH0562,2024-08-15 13:59:00,2024-08-15 22:51:00,Đúng giờ
ATT00148,EMP0034,SCH0314,2024-07-03 18:28:00,2024-07-03 23:29:00,Đúng giờ
ATT00149,EMP0124,SCH0381,2024-03-09 18:00:00,2024-03-09 18:00:00,Vắng
ATT00150,EMP0013,SCH0152,2024-02-28 08:34:00,2024-02-28 17:25:00,Đúng giờ
ATT00151,EMP0042,SCH0549,2024-08-30 05:55:00,2024-08-30 13:00:00,Đúng giờ
ATT00152,EMP0040,SCH0166,2024-07-17 06:21:00,2024-07-17 14:35:00,Đúng giờ
ATT00153,EMP0148,SCH0130,2024-12-19 18:01:00,2024-12-19 22:56:00,Đúng giờ
ATT00154,EMP0053,SCH0576,2024-03-13 08:30:00,2024-03-13 17:07:00,Đúng giờ
ATT00155,EMP0038,SCH0382,2024-12-27 06:25:00,2024-12-27 14:49:00,Đúng giờ
ATT00156,EMP0078,SCH0125,2024-10-25 14:30:00,2024-10-25 14:30:00,Vắng
ATT00157,EMP0104,SCH0512,2024-02-13 15:04:00,2024-02-13 22:05:00,Trễ
ATT00158,EMP0040,SCH0005,2024-10-19 12:00:00,2024-10-19 12:00:00,Vắng
ATT00159,EMP0140,SCH0520,2024-11-07 05:59:00,2024-11-07 14:15:00,Đúng giờ
ATT00160,EMP0075,SCH0588,2024-06-15 06:34:00,2024-06-15 14:06:00,Đúng giờ
ATT00161,EMP0029,SCH0491,2024-04-04 06:43:00,2024-04-04 14:58:00,Trễ
ATT00162,EMP0142,SCH0120,2024-11-04 08:32:00,2024-11-04 17:54:00,Đúng giờ
ATT00163,EMP0057,SCH0457,2024-10-06 14:30:00,2024-10-06 22:18:00,Đúng giờ
ATT00164,EMP0050,SCH0598,2024-10-17 17:58:00,2024-10-17 22:57:00,Đúng giờ
ATT00165,EMP0006,SCH0086,2024-01-24 06:34:00,2024-01-24 12:58:00,Đúng giờ
ATT00166,EMP0023,SCH0525,2024-11-30 18:05:00,2024-11-30 23:05:00,Đúng giờ
ATT00167,EMP0131,SCH0058,2024-12-25 12:28:00,2024-12-25 18:10:00,Trễ
ATT00168,EMP0038,SCH0438,2024-03-08 18:01:00,2024-03-08 23:15:00,Đúng giờ
ATT00169,EMP0073,SCH0354,2024-06-13 06:04:00,2024-06-13 12:20:00,Đúng giờ
ATT00170,EMP0023,SCH0221,2024-07-31 18:04:00,2024-07-31 23:41:00,Đúng giờ
ATT00171,EMP0114,SCH0296,2024-08-22 06:33:00,2024-08-22 12:41:00,Đúng giờ
ATT00172,EMP0036,SCH0089,2024-12-04 07:59:00,2024-12-04 17:45:00,Đúng giờ
ATT00173,EMP0135,SCH0344,2024-05-29 14:02:00,2024-05-29 21:50:00,Đúng giờ
ATT00174,EMP0002,SCH0420,2024-04-19 17:58:00,2024-04-19 23:41:00,Đúng giờ
ATT00175,EMP0045,SCH0570,2024-10-22 17:54:00,2024-10-22 23:27:00,Đúng giờ
ATT00176,EMP0048,SCH0391,2024-04-07 14:35:00,2024-04-07 21:47:00,Đúng giờ
ATT00177,EMP0078,SCH0600,2024-02-28 14:34:00,2024-02-28 22:29:00,Đúng giờ
ATT00178,EMP0007,SCH0003,2024-03-24 17:59:00,2024-03-24 23:55:00,Đúng giờ
ATT00179,EMP0121,SCH0128,2024-04-12 17:59:00,2024-04-12 23:41:00,Đúng giờ
ATT00180,EMP0046,SCH0504,2024-05-30 14:46:00,2024-05-30 22:00:00,Trễ
ATT00181,EMP0008,SCH0123,2024-12-10 12:36:00,2024-12-10 18:19:00,Trễ
ATT00182,EMP0093,SCH0596,2024-09-03 06:03:00,2024-09-03 14:31:00,Đúng giờ
ATT00183,EMP0122,SCH0123,2024-12-10 11:50:00,2024-12-10 18:31:00,Đúng giờ
ATT00184,EMP0042,SCH0596,2024-09-03 06:00:00,2024-09-03 14:44:00,Đúng giờ
ATT00185,EMP0035,SCH0366,2024-08-23 07:58:00,2024-08-23 17:08:00,Đúng giờ
ATT00186,EMP0108,SCH0365,2024-08-14 11:59:00,2024-08-14 18:18:00,Đúng giờ
ATT00187,EMP0020,SCH0527,2024-02-14 05:55:00,2024-02-14 12:21:00,Đúng giờ
ATT00188,EMP0043,SCH0557,2024-12-27 18:00:00,2024-12-27 23:58:00,Đúng giờ
ATT00189,EMP0078,SCH0278,2024-09-03 06:31:00,2024-09-03 11:51:00,Đúng giờ
ATT00190,EMP0137,SCH0594,2024-09-29 06:24:00,2024-09-29 14:15:00,Đúng giờ
ATT00191,EMP0036,SCH0531,2024-07-13 06:35:00,2024-07-13 12:11:00,Đúng giờ
ATT00192,EMP0088,SCH0167,2024-06-10 06:24:00,2024-06-10 12:17:00,Đúng giờ
ATT00193,EMP0057,SCH0193,2024-08-24 07:10:00,2024-08-24 14:54:00,Trễ
ATT00194,EMP0135,SCH0545,2024-02-04 18:23:00,2024-02-04 23:41:00,Đúng giờ
ATT00195,EMP0118,SCH0079,2024-07-16 08:24:00,2024-07-16 17:16:00,Đúng giờ
ATT00196,EMP0123,SCH0357,2024-01-05 12:01:00,2024-01-05 17:53:00,Đúng giờ
ATT00197,EMP0114,SCH0536,2024-12-18 14:56:00,2024-12-18 22:26:00,Trễ
ATT00198,EMP0078,SCH0030,2024-11-20 13:53:00,2024-11-20 22:29:00,Đúng giờ
ATT00199,EMP0033,SCH0146,2024-12-28 17:59:00,2024-12-28 22:53:00,Đúng giờ
ATT00200,EMP0054,SCH0134,2024-07-14 06:30:00,2024-07-14 06:30:00,Vắng
ATT00201,EMP0109,SCH0115,2024-10-26 06:05:00,2024-10-26 14:12:00,Đúng giờ
ATT00202,EMP0011,SCH0202,2024-03-09 05:51:00,2024-03-09 14:45:00,Đúng giờ
ATT00203,EMP0031,SCH0260,2024-02-10 13:59:00,2024-02-10 22:57:00,Đúng giờ
ATT00204,EMP0003,SCH0099,2024-11-30 06:43:00,2024-11-30 12:28:00,Trễ
ATT00205,EMP0052,SCH0190,2024-08-07 11:50:00,2024-08-07 18:20:00,Đúng giờ
ATT00206,EMP0038,SCH0285,2024-12-15 12:30:00,2024-12-15 12:30:00,Vắng
ATT00207,EMP0090,SCH0361,2024-02-11 11:57:00,2024-02-11 18:47:00,Đúng giờ
ATT00208,EMP0146,SCH0070,2024-05-11 07:50:00,2024-05-11 17:48:00,Đúng giờ
ATT00209,EMP0056,SCH0197,2024-11-16 06:00:00,2024-11-16 06:00:00,Vắng
ATT00210,EMP0044,SCH0551,2024-08-24 05:53:00,2024-08-24 14:28:00,Đúng giờ
ATT00211,EMP0130,SCH0487,2024-01-14 14:25:00,2024-01-14 22:13:00,Đúng giờ
ATT00212,EMP0028,SCH0186,2024-05-25 14:29:00,2024-05-25 22:12:00,Trễ
ATT00213,EMP0055,SCH0527,2024-02-14 05:53:00,2024-02-14 12:35:00,Đúng giờ
ATT00214,EMP0032,SCH0478,2024-10-04 11:54:00,2024-10-04 18:16:00,Đúng giờ
ATT00215,EMP0093,SCH0296,2024-08-22 06:21:00,2024-08-22 12:20:00,Đúng giờ
ATT00216,EMP0084,SCH0506,2024-09-13 05:59:00,2024-09-13 12:14:00,Đúng giờ
ATT00217,EMP0080,SCH0455,2024-08-18 06:03:00,2024-08-18 14:33:00,Đúng giờ
ATT00218,EMP0110,SCH0194,2024-09-06 14:58:00,2024-09-06 22:15:00,Trễ
ATT00219,EMP0095,SCH0184,2024-04-11 08:35:00,2024-04-11 17:58:00,Đúng giờ
ATT00220,EMP0027,SCH0406,2024-09-29 05:52:00,2024-09-29 13:52:00,Đúng giờ
ATT00221,EMP0037,SCH0405,2024-09-22 05:53:00,2024-09-22 11:55:00,Đúng giờ
ATT00222,EMP0017,SCH0373,2024-07-21 12:00:00,2024-07-21 12:00:00,Vắng
ATT00223,EMP0087,SCH0206,2024-09-04 18:02:00,2024-09-04 22:52:00,Đúng giờ
ATT00224,EMP0060,SCH0435,2024-01-26 08:28:00,2024-01-26 18:00:00,Đúng giờ
ATT00225,EMP0149,SCH0280,2024-06-10 07:26:00,2024-06-10 14:26:00,Trễ
ATT00226,EMP0103,SCH0365,2024-08-14 12:02:00,2024-08-14 18:16:00,Đúng giờ
ATT00227,EMP0131,SCH0286,2024-04-30 08:04:00,2024-04-30 17:21:00,Đúng giờ
ATT00228,EMP0032,SCH0257,2024-07-18 07:57:00,2024-07-18 17:25:00,Đúng giờ
ATT00229,EMP0035,SCH0031,2024-04-09 13:51:00,2024-04-09 22:19:00,Đúng giờ
ATT00230,EMP0128,SCH0028,2024-06-18 18:30:00,2024-06-18 18:30:00,Vắng
ATT00231,EMP0098,SCH0335,2024-08-31 06:23:00,2024-08-31 14:19:00,Đúng giờ
ATT00232,EMP0134,SCH0505,2024-08-25 08:47:00,2024-08-25 17:03:00,Trễ
ATT00233,EMP0128,SCH0503,2024-05-26 06:00:00,2024-05-26 14:49:00,Đúng giờ
ATT00234,EMP0140,SCH0019,2024-01-14 08:30:00,2024-01-14 08:30:00,Vắng
ATT00235,EMP0009,SCH0441,2024-12-23 12:12:00,2024-12-23 18:39:00,Trễ
ATT00236,EMP0116,SCH0323,2024-12-29 19:03:00,2024-12-29 23:44:00,Trễ
ATT00237,EMP0010,SCH0034,2024-07-28 14:29:00,2024-07-28 22:30:00,Đúng giờ
ATT00238,EMP0043,SCH0504,2024-05-30 13:59:00,2024-05-30 22:30:00,Đúng giờ
ATT00239,EMP0100,SCH0500,2024-09-22 15:11:00,2024-09-22 22:28:00,Trễ
ATT00240,EMP0126,SCH0568,2024-06-19 06:05:00,2024-06-19 14:15:00,Đúng giờ
ATT00241,EMP0144,SCH0161,2024-02-23 12:32:00,2024-02-23 18:01:00,Đúng giờ
ATT00242,EMP0127,SCH0387,2024-05-14 14:31:00,2024-05-14 22:33:00,Đúng giờ
ATT00243,EMP0083,SCH0063,2024-11-07 12:21:00,2024-11-07 17:53:00,Đúng giờ
ATT00244,EMP0094,SCH0358,2024-01-08 06:42:00,2024-01-08 14:16:00,Trễ
ATT00245,EMP0088,SCH0390,2024-06-13 08:01:00,2024-06-13 17:37:00,Đúng giờ
ATT00246,EMP0106,SCH0360,2024-08-25 07:57:00,2024-08-25 17:30:00,Đúng giờ
ATT00247,EMP0061,SCH0320,2024-11-23 18:22:00,2024-11-23 23:34:00,Đúng giờ
ATT00248,EMP0030,SCH0346,2024-10-14 06:30:00,2024-10-14 13:47:00,Đúng giờ
ATT00249,EMP0118,SCH0433,2024-10-03 14:03:00,2024-10-03 22:32:00,Đúng giờ
ATT00250,EMP0006,SCH0481,2024-03-15 08:00:00,2024-03-15 17:39:00,Đúng giờ
ATT00251,EMP0147,SCH0400,2024-04-16 08:23:00,2024-04-16 17:16:00,Đúng giờ
ATT00252,EMP0026,SCH0211,2024-02-22 08:30:00,2024-02-22 17:25:00,Đúng giờ
ATT00253,EMP0077,SCH0373,2024-07-21 12:00:00,2024-07-21 12:00:00,Vắng
ATT00254,EMP0052,SCH0509,2024-08-20 06:22:00,2024-08-20 12:49:00,Đúng giờ
ATT00255,EMP0055,SCH0295,2024-09-14 18:29:00,2024-09-14 23:21:00,Đúng giờ
ATT00256,EMP0103,SCH0232,2024-11-01 13:52:00,2024-11-01 22:30:00,Đúng giờ
ATT00257,EMP0149,SCH0098,2024-08-16 17:58:00,2024-08-16 23:19:00,Đúng giờ
ATT00258,EMP0146,SCH0544,2024-11-23 12:26:00,2024-11-23 18:37:00,Đúng giờ
ATT00259,EMP0020,SCH0310,2024-06-02 17:59:00,2024-06-02 23:42:00,Đúng giờ
ATT00260,EMP0139,SCH0321,2024-02-06 06:02:00,2024-02-06 12:31:00,Đúng giờ
ATT00261,EMP0132,SCH0465,2024-04-28 05:55:00,2024-04-28 14:16:00,Đúng giờ
ATT00262,EMP0133,SCH0192,2024-07-03 12:26:00,2024-07-03 18:57:00,Đúng giờ
ATT00263,EMP0120,SCH0275,2024-09-19 18:30:00,2024-09-19 18:30:00,Vắng
ATT00264,EMP0137,SCH0445,2024-06-14 08:00:00,2024-06-14 08:00:00,Vắng
ATT00265,EMP0016,SCH0535,2024-02-25 14:04:00,2024-02-25 22:24:00,Đúng giờ
ATT00266,EMP0062,SCH0155,2024-07-16 18:29:00,2024-07-16 23:12:00,Đúng giờ
ATT00267,EMP0106,SCH0327,2024-04-17 12:39:00,2024-04-17 18:25:00,Trễ
ATT00268,EMP0053,SCH0423,2024-03-11 18:29:00,2024-03-11 23:26:00,Đúng giờ
ATT00269,EMP0042,SCH0263,2024-01-06 12:27:00,2024-01-06 18:10:00,Đúng giờ
ATT00270,EMP0062,SCH0117,2024-09-15 06:20:00,2024-09-15 14:00:00,Đúng giờ
ATT00271,EMP0080,SCH0476,2024-08-01 12:03:00,2024-08-01 18:42:00,Đúng giờ
